FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 19-Jun-2017 
COMMENT	
IMG_Raw	20170604_oocyte_stg6_phalloidin-400_smFISH_grk546_Z_FFC_processed_grk2.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	20170604_oocyte_stg6_phalloidin-400_smFISH_grk546_Z_FFC_processed_grk2__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	730	1.33	547	583	1.4	confocal
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
336.957	84666.7	14360.6	2421.94	287.903	1.3673e+06	449.496	449.496	244.944	269.169	270.74	3119.51	196.957	106.72	3410.58	12	4	607	20	2	6	605	609	16	24	1667	78.8232	22.3814	0.177195	1	1	-1
895.532	124496	12600.4	2394.88	353.505	1.97101e+06	310.365	310.365	131.124	284.819	294.744	2617.5	335.532	316.346	2380.39	19	7	890	19	5	9	888	892	15	23	1295	76.7031	20.3086	0.160784	1	1	-1
1553.19	92858.6	20813.5	371.21	285.395	83655.2	243.686	243.686	506.185	281.31	281.264	3031.56	293.19	318.58	3293.49	9	12	664	29	10	14	662	666	25	33	555	61.5379	12.7056	0.100591	1	1	-1
2152.76	97875.1	19410.4	360.069	278.852	91830.4	270.606	270.606	697.042	282.435	282.47	3063.79	332.762	295.097	3350.45	8	16	700	27	14	18	698	702	23	31	590	63.8377	14.4424	0.114342	1	1	-1
2181.26	3040.57	29859.1	272.214	280.565	56495.6	239.691	239.691	723.858	275.429	278.446	2852.05	221.263	240.568	2849.09	7	17	23	42	15	19	21	25	38	46	525	58.0516	12.4112	0.0982602	1	1	-1
3988.52	81170.5	16348.8	380.432	282.576	117169	274.811	274.811	591.342	285.137	277.755	3050.67	348.518	250.52	3208.77	10	29	581	23	27	31	579	583	19	27	625	58.6047	13.2333	0.104769	1	1	-1
4320.53	37307.5	29507.3	800.565	303.209	1.24762e+06	419.259	419.259	524.638	285.635	280.889	2912.99	400.527	347.539	3227.29	14	31	267	41	29	33	265	269	37	45	991	62.5893	16.3922	0.129778	1	1	-1
5122.26	114669	13489	1256.41	280.214	3.69864e+06	392.687	392.687	464.251	287.236	291.926	2826.47	362.255	289.275	2539	12	37	820	20	35	39	818	822	16	24	1525	96.2611	28.796	0.22798	1	1	-1
5435	115389	12325.5	3120.41	296.934	2.2852e+06	321.521	321.521	237.157	271.162	279.115	3316.28	255.004	308.505	3565.52	10	40	825	17	38	42	823	827	13	21	2421	162.984	46.3521	0.366972	1	1	-1
6339.5	79219	39536.3	300.029	242.545	65025.7	268.839	268.839	714.937	282.687	280.124	2957.66	319.495	259.047	3036.25	7	46	567	55	44	48	565	569	51	59	529	58.9461	12.4449	0.0985269	1	1	-1
7336.81	89719	33830.1	317.917	288.501	89765.2	228.454	228.454	600.345	287.657	279.428	2917.66	336.81	258.981	3170.06	8	53	642	47	51	55	640	644	43	51	547	62.4326	13.5255	0.107082	1	1	-1
7880.09	84808.2	30201.2	424.188	276.078	99395.3	245.044	245.044	586.256	281.86	276.15	2878.77	320.086	248.236	3191.19	10	57	607	42	55	59	605	609	38	46	617	75.3566	16.7174	0.132353	1	1	-1
8040.88	89837.9	29885.7	321.228	307.078	259610	241.616	241.616	914.666	287.871	275.42	2993.98	340.882	237.88	2875.72	8	58	643	42	56	60	641	645	38	46	587	80.4005	18.6865	0.147942	1	1	-1
8337.13	73053.1	38163	417.576	305.976	451492	224.976	224.976	499.57	287.851	269.735	2981.15	357.132	253.118	3122.98	8	60	523	53	58	62	521	525	49	57	638	68.2626	16.9646	0.134309	1	1	-1
8290.43	102900	38648.5	350.937	263.626	64519.1	238.451	238.451	599.805	281.348	279.491	2883.8	310.429	280.484	2878.54	7	60	736	54	58	62	734	738	50	58	600	65.4821	14.2846	0.113092	1	1	-1
8484.33	72704.8	41091.2	370.631	323.036	949467	182.292	182.292	385.272	271.233	285.293	2639.19	224.328	324.753	3131.23	10	62	520	57	60	64	518	522	53	61	598	59.5476	15.9331	0.126143	1	1	-1
8786.37	76692	47073.7	349.609	257.509	93585.8	234.084	234.084	549.304	274.938	282.224	2972.59	246.369	252.034	3273.74	10	64	549	65	62	66	547	551	61	69	523	60.0786	14.0126	0.110938	1	1	-1
8779.31	82491.6	46149.5	273.115	249.025	80216.8	236.897	236.897	715.571	275.979	281.703	2962.4	239.312	311.612	3079.54	8	64	590	64	62	66	588	592	60	68	498	58.0397	12.8259	0.101544	1	1	-1
