FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 26-May-2019 
COMMENT	
IMG_Raw	C2-20170717_oocyte_stg6_phalloidin-488_grk-546_Z_05.tif.ome_grk.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	20170717_oocyte_stg6_phalloidin-488_grk-546_Z_05.tif.ome_grk__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
160	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
391.319	106404	10817.9	855.993	320.197	1.60341e+06	172.745	172.745	204.882	328.181	315.853	1213.65	391.319	323.675	1217.93	12	3	666	37	1	5	664	668	33	41	1170	188.078	36.4829	0.148219	1	1	-1
316.291	120480	6183.66	743.852	345.035	1.85715e+06	187.838	187.838	247.674	314.125	321.128	1216.32	316.291	319.712	1383.66	12	3	754	21	1	5	752	756	17	25	1181	185.679	40.3629	0.163983	1	1	-1
343.041	123493	11372	1158.13	330.909	1.43371e+06	143.464	143.464	150.284	314.733	318.089	1159.04	343.041	293.482	1171.98	9	3	773	39	1	5	771	775	35	43	1242	190.654	37.3872	0.151893	1	1	-1
301.511	135440	8944.38	985.268	315.53	2.09304e+06	195.712	195.712	364.507	314.152	304.673	1167.41	301.511	239.832	1144.38	8	3	848	31	1	5	846	850	27	35	1252	319.701	63.8752	0.259506	1	1	-1
362.415	147231	7749.67	911.6	330.505	1.6127e+06	167.475	167.475	221.081	318.196	326.665	1151.04	362.415	351.289	1149.67	10	3	921	27	1	5	919	923	23	31	1085	216.495	43.1595	0.175344	1	1	-1
510.121	91345.8	13105.5	848.085	352.35	1.78709e+06	112	112	270.703	323.037	311.87	1210.92	350.121	305.79	1405.47	27	4	572	44	2	6	570	574	40	48	1197	195.719	37.2509	0.15134	1	1	-1
465.113	115006	6221.75	862.863	361.573	1.67229e+06	165.457	165.457	237.423	318.059	317.154	1163.45	305.113	286.236	1121.75	10	4	720	22	2	6	718	722	18	26	1169	221.492	40.448	0.164328	1	1	-1
466.976	115490	15509.2	756.256	280.649	1.08929e+06	168.93	168.93	213.034	321.088	316.183	1201.56	306.976	289.843	1109.22	8	4	723	53	2	6	721	725	49	57	847	184.053	35.1933	0.14298	1	1	-1
411.391	120852	3516.33	538.085	380.216	4.42649e+06	222.662	222.662	502.24	310.625	331.031	1220.86	251.391	371.531	1416.33	16	4	756	12	2	6	754	758	8	16	1127	211.765	49.6679	0.201786	1	1	-1
662.041	75767	14479.4	722.466	293.849	1.4437e+06	192.075	192.075	276.371	323.783	304.067	1253.88	342.041	247.002	1279.36	9	5	475	49	3	7	473	477	45	53	1072	198.878	40.004	0.162524	1	1	-1
697.981	121158	10046.1	827.9	343.261	1.80602e+06	158.304	158.304	229.579	319.164	325.581	1183.28	377.981	358.179	1046.05	11	5	758	35	3	7	756	760	31	39	1078	199.629	41.1349	0.167119	1	1	-1
670.141	132735	18853.3	971.839	287.566	1.22512e+06	158.334	158.334	225.527	319.106	337.559	1201.76	350.141	414.785	1153.34	10	5	830	64	3	7	828	832	60	68	1143	199.325	40.2731	0.163618	1	1	-1
609.434	159864	9136.37	767.596	318.668	1.98306e+06	158.724	158.724	283.528	320.432	323.45	1194.95	289.434	343.648	1036.37	18	5	1000	32	3	7	998	1002	28	36	1097	241.262	44.7265	0.181711	1	1	-1
