FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 26-May-2019 
COMMENT	
IMG_Raw	20170717_oocyte_stg7_phalloidin-488_grk-546_Z_01.tif.ome_grk.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	20170717_oocyte_stg7_phalloidin-488_grk-546_Z_01.tif.ome_grk__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
160	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
276.243	134654	11826.1	1036.63	313.562	1.40688e+06	191.692	191.692	206.01	310.334	312.534	1254.21	276.243	254.131	1326.11	11	3	843	40	1	5	841	845	36	44	1105	204.877	44.6542	0.198431	1	1	-1
287.11	144475	17339	998.204	293.659	1.42628e+06	159.875	159.875	219.748	310.381	320.271	1193.9	287.11	314.661	1139	10	3	904	59	1	5	902	906	55	63	1233	237.733	43.0977	0.191514	1	1	-1
837.246	159750	14658.2	1098.89	292.627	1.27193e+06	161.949	161.949	207.953	323.686	340.096	1202.94	357.246	390.118	1158.21	9	6	999	50	4	8	997	1001	46	54	1328	210.415	45.4762	0.202083	1	1	-1
978.054	137462	12042.8	1003.18	302.294	1.4974e+06	159.544	159.544	182.348	318.698	318.909	1202.77	338.054	341.824	1242.78	8	7	860	41	5	9	858	862	37	45	1113	205.647	40.2244	0.178746	1	1	-1
1630.65	135329	11309.7	860.845	311.399	1.65489e+06	155.954	155.954	225.691	331.965	317.093	1171.07	350.652	288.815	1109.71	8	11	847	39	9	13	845	849	35	43	1085	236.452	39.9318	0.177446	1	1	-1
1624.94	140354	12335.8	1180.91	307.539	1.3094e+06	144.365	144.365	215.705	321.863	324.171	1208.83	344.938	354.413	1235.83	8	11	878	42	9	13	876	880	38	46	1188	274.588	48.1146	0.213808	1	1	-1
1691.37	142909	12558	1302.3	297.186	1.90792e+06	170.48	170.48	210.626	338.16	322.468	1262.02	411.366	349.016	1457.95	10	11	894	42	9	13	892	896	38	46	1397	248.314	54.0675	0.240261	1	1	-1
1568.79	161366	11847.1	1275.83	307.079	1.26425e+06	146.973	146.973	168.4	314.67	314.782	1191.43	288.791	246.281	1047.14	13	11	1010	41	9	13	1008	1012	37	45	1218	229.243	42.4811	0.188774	1	1	-1
1690.08	163295	13967	1823.43	356.615	2.02358e+06	122.654	122.654	139.944	328.512	318.341	1236.48	410.081	254.871	1066.96	11	11	1022	48	9	13	1020	1024	44	52	1146	219.291	52.9514	0.235301	1	1	-1
2244.25	114873	26061	1056.61	497.223	7.73215e+06	388.212	388.212	432.877	320.865	321.983	1241.35	324.25	312.615	1161.01	16	15	719	88	13	17	717	721	84	92	1782	214.142	56.7783	0.252307	1	1	-1
2254.61	157736	14813.7	901.847	291.716	1.26902e+06	170.196	170.196	213.116	325.044	319.875	1185.15	334.607	296.289	1013.72	12	15	987	51	13	17	985	989	47	55	1053	202.917	40.2196	0.178725	1	1	-1
2736.92	146590	15487.1	755.279	310.228	1.82623e+06	182.467	182.467	242.395	330.116	323.033	1158.62	336.917	349.888	1087.07	12	18	917	53	16	20	915	919	49	57	1014	201.196	39.7379	0.176584	1	1	-1
2886.63	144387	13580.1	996.806	287.199	1.66036e+06	164.744	164.744	284.653	325.375	309.894	1220.72	326.628	226.91	1280.12	9	19	904	46	17	21	902	906	42	50	1073	291.375	54.3944	0.241714	1	1	-1
2972.41	111794	25565.6	923.909	634.063	8.38434e+06	368.164	368.164	373.474	320.757	323.968	1182.72	252.415	273.819	965.628	35	20	700	87	18	22	698	702	83	91	2116	233.166	49.7959	0.221279	1	1	-1
3170.23	113691	26148.6	1012.12	444.545	5.54398e+06	492	492	507.461	320.1	326.824	1226.72	290.227	410.55	1248.6	13	21	711	88	19	23	709	713	84	92	1722	207.642	52.3235	0.232511	1	1	-1
