FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 04-Sep-2017 
COMMENT	
IMG_Raw	20170717_oocyte_stg7_phalloidin-488_grk-546_Z_01_grk.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	20170717_oocyte_stg7_phalloidin-488_grk-546_Z_01_grk__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	730	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
241.709	117822	28776.9	1036.51	313.555	1.40688e+06	167.734	167.734	501.378	271.542	273.467	3051.91	241.709	222.371	3226.88	10	3	843	40	1	5	841	845	36	44	1105	204.877	44.6542	0.198431	1	1	-1
251.234	126415	42191.5	998.425	293.67	1.42628e+06	139.867	139.867	534.646	271.584	280.237	2905.17	251.234	275.336	2771.51	11	3	904	59	1	5	902	906	55	63	1233	237.733	43.0977	0.191514	1	1	-1
732.589	139781	35668.3	1098.82	292.624	1.27194e+06	141.711	141.711	506.052	283.225	297.584	2927.14	312.589	341.353	2818.29	8	6	999	50	4	8	997	1001	46	54	1328	210.415	45.4762	0.202083	1	1	-1
855.821	120279	29304	1003.1	302.291	1.4974e+06	139.609	139.609	443.733	278.861	279.046	2926.75	295.821	299.089	3024.04	8	7	860	41	5	9	858	862	37	45	1113	205.647	40.2244	0.178746	1	1	-1
1426.83	118413	27520.3	860.815	311.397	1.65489e+06	136.468	136.468	549.16	290.469	277.456	2849.59	306.828	252.713	2700.33	8	11	847	39	9	13	845	849	35	43	1085	236.452	39.9318	0.177446	1	1	-1
1421.82	122810	30017.2	1180.91	307.538	1.3094e+06	126.321	126.321	524.872	281.63	283.65	2941.5	301.818	310.111	3007.19	8	11	878	42	9	13	876	880	38	46	1188	274.588	48.1146	0.213808	1	1	-1
1479.94	125045	30557.6	1302.39	297.19	1.90792e+06	149.161	149.161	512.505	295.89	282.159	3070.92	359.938	305.396	3547.64	11	11	894	42	9	13	892	896	38	46	1397	248.314	54.0675	0.240261	1	1	-1
1372.69	141195	28828	1275.85	307.079	1.26425e+06	128.601	128.601	409.767	275.336	275.434	2899.15	252.692	215.496	2548.04	13	11	1010	41	9	13	1008	1012	37	45	1218	229.243	42.4811	0.188774	1	1	-1
1478.83	142883	33986.3	1823.01	356.61	2.02358e+06	107.337	107.337	340.569	287.448	278.548	3008.77	358.828	223.014	2596.27	11	11	1022	48	9	13	1020	1024	44	52	1146	219.291	52.9514	0.235301	1	1	-1
1963.73	100514	63415.2	1056.57	497.133	7.73215e+06	339.722	339.722	1053.61	280.757	281.735	3020.62	283.727	273.533	2825.21	15	15	719	88	13	17	717	721	84	92	1782	214.142	56.7783	0.252307	1	1	-1
