FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 16-Aug-2017 
COMMENT	
IMG_Raw	20170714_oocyte_stg6_phalloidin-488_grk-546_Z_02_grk.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	20170714_oocyte_stg6_phalloidin-488_grk-546_Z_02_grk__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	730	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
241.139	87966.1	31150.2	955.612	249.235	851925	134.449	134.449	623.54	275.055	289.516	2862.71	241.139	326.081	2680.2	8	3	629	44	1	5	627	631	40	48	1012	230.111	48.4739	0.212336	1	1	-1
266.156	99665.4	34186.8	696.535	254.577	1.41973e+06	133.85	133.85	508.855	282.619	281.351	3026.57	266.156	265.374	2796.75	8	3	713	48	1	5	711	715	44	52	895	173.78	34.012	0.148987	1	1	-1
259.48	138566	36576.4	1026.81	259.806	942521	146.625	146.625	483.204	271.069	282.26	2940.54	259.48	246.267	2996.43	9	3	991	51	1	5	989	993	47	55	1031	205.612	43.6591	0.191245	1	1	-1
262.421	141862	38266.5	859.917	257.824	1.0255e+06	141.091	141.091	492.171	277.988	285.788	2866.96	262.421	321.671	2496.52	10	3	1014	54	1	5	1012	1016	50	58	833	190.184	39.8979	0.17477	1	1	-1
484.977	110177	13846.8	884.589	258.11	1.01198e+06	134.334	134.334	509.62	288.119	282.937	2896.37	344.977	277.489	2896.84	10	4	788	20	2	6	786	790	16	24	930	198.709	38.1919	0.167297	1	1	-1
443.57	113362	29976.1	1138.88	283.741	1.90751e+06	104.487	104.487	427.668	285.863	279.964	2769.15	303.57	241.805	2966.14	9	4	811	42	2	6	809	813	38	46	1123	201.418	41.3936	0.181322	1	1	-1
365.487	121491	12199.6	1076.4	302.855	4.0577e+06	121.506	121.506	479.806	258.075	272.559	3139.45	225.487	251.074	2709.63	12	4	869	18	2	6	867	871	14	22	1105	238.888	53.7934	0.235638	1	1	-1
411.119	121953	53883.7	853.224	258.171	939230	141.41	141.41	548.747	270.955	277.961	2868.59	271.119	292.764	2783.72	9	4	872	75	2	6	870	874	71	79	995	210.46	38.0603	0.16672	1	1	-1
501.838	59049.1	28081.7	1198.99	260.67	1.10926e+06	127.373	127.373	419.078	268.817	281.378	3020.7	221.838	249.116	3261.71	10	5	423	39	3	7	421	425	35	43	1120	228.349	41.1852	0.180408	1	1	-1
580.149	102901	22166.2	932.721	254.656	818522	147.103	147.103	404.271	281.974	284.733	2859.48	300.149	280.571	2456.21	11	5	736	32	3	7	734	738	28	36	995	171.678	32.039	0.140344	1	1	-1
548.827	110228	40237.3	857.963	256.47	1.07866e+06	141.685	141.685	485.554	277.219	286.295	2904.55	268.827	328.284	3007.28	9	5	788	56	3	7	786	790	52	60	980	171.189	33.9751	0.148825	1	1	-1
646.877	118314	38335.1	1124.25	254.94	1.24171e+06	151.717	151.717	508.49	294.374	287.271	2982.2	366.877	293.641	3295.1	10	5	846	53	3	7	844	848	49	57	1196	229.866	47.4257	0.207745	1	1	-1
522.815	124664	7480.87	873.686	271.971	1.28864e+06	132.732	132.732	455.936	276.004	284.33	2919.53	242.815	343.857	3100.87	9	5	891	11	3	7	889	893	7	15	905	171.61	34.1354	0.149528	1	1	-1
545.811	128199	25218.3	800.977	260.101	1.16578e+06	162.75	162.75	546.55	276.392	279.779	2846.73	265.811	238.517	2588.29	10	5	917	36	3	7	915	919	32	40	958	199.646	38.0197	0.166542	1	1	-1
536.998	136097	25465.7	1108.3	259.453	1.01961e+06	164.205	164.205	422.358	275.466	282.824	2887.06	256.998	297.068	2835.71	8	5	973	36	3	7	971	975	32	40	1215	203.494	42.3388	0.185462	1	1	-1
623.29	139575	20018.6	1137.69	281.716	1.73844e+06	127.137	127.137	376.486	285.279	292.223	2771.65	343.29	275.477	3228.61	11	5	998	28	3	7	996	1000	24	32	1160	187.638	43.4836	0.190477	1	1	-1
587.542	84728.4	24110.9	1157.39	247.503	1.36483e+06	164.171	164.171	395.558	264.763	264.436	2856.26	167.542	168.354	2940.88	11	6	607	34	4	8	605	609	30	38	1086	186.405	45.3792	0.19878	1	1	-1
875.858	73726.2	13992.8	1431.3	281.33	1.25945e+06	125.83	125.83	432.038	282.645	274.979	2922.55	315.858	226.212	3042.84	10	7	528	20	5	9	526	530	16	24	1276	252.646	51.8221	0.227003	1	1	-1
1013.11	113390	18303	1091.59	262.084	841608	98.7937	98.7937	405.159	283.799	277.124	2907.68	313.114	270.484	2972.97	11	8	811	26	6	10	809	813	22	30	1153	174.847	32.2455	0.141249	1	1	-1
1142.5	54410.8	32386.3	754.749	257.464	1.28682e+06	149.061	149.061	648.146	287.804	268.738	3001.11	302.497	230.842	3186.27	9	9	390	45	7	11	388	392	41	49	929	214.886	41.3483	0.181123	1	1	-1
1096.39	90465.5	12784.8	1022.39	241.011	1.13575e+06	144.675	144.675	554.307	272.401	288.099	3010.46	256.392	305.516	3294.79	9	9	647	18	7	11	645	649	14	22	1039	249.966	46.0725	0.201817	1	1	-1
1149.33	103983	29673.3	775.202	246.275	1.17388e+06	154.357	154.357	598.19	287.174	280.224	2858.21	309.327	243.474	2663.34	10	9	744	42	7	11	742	746	38	46	935	220.596	39.7927	0.174309	1	1	-1
1212.4	106624	32604.1	735.89	248.103	902596	156.639	156.639	618.251	297.834	272.346	2878.78	372.401	223.53	2674.11	10	9	763	46	7	11	761	765	42	50	891	168.354	38.4745	0.168535	1	1	-1
1054.83	130719	41182.4	999.462	248.241	1.06913e+06	142.359	142.359	425.622	270.248	275.505	2804.4	214.834	239.015	2492.41	11	9	935	58	7	11	933	937	54	62	1052	182.562	35.7172	0.156456	1	1	-1
1307.78	105800	27451	1216.98	245.739	882202	127.667	127.667	398.16	287.515	274.128	2874.08	327.778	240.225	2631.05	10	10	757	39	8	12	755	759	35	43	1086	213.534	41.4493	0.181566	1	1	-1
1128.2	125191	20248.8	852.561	290.959	2.33202e+06	176.206	176.206	471.152	278.863	291.499	3015.13	148.198	310.573	3458.82	14	10	895	28	8	12	893	897	24	32	1039	173.013	41.9114	0.18359	1	1	-1
1309.91	125702	37601	702.094	248.075	836437	124.976	124.976	558.871	284.337	279.027	2845.1	329.914	261.963	2561.02	10	10	899	53	8	12	897	901	49	57	751	174.283	31.8267	0.139414	1	1	-1
1211.05	131096	16498.3	1518.63	258.846	906811	124.582	124.582	390.807	275.069	296.928	3017.11	231.048	335.944	3358.29	11	10	937	23	8	12	935	939	19	27	1176	240.971	46.7305	0.204699	1	1	-1
1350.47	67586.5	41074.7	682.403	244.274	1.25804e+06	171.928	171.928	636.743	273.729	273.061	3031.13	230.469	246.539	3114.74	8	11	484	57	9	13	482	486	53	61	851	173.295	38.5668	0.168939	1	1	-1
1385.12	73406.3	37541.9	921.599	239.051	960356	174.099	174.099	607.436	279.049	285.8	2794.31	265.122	326.292	2501.88	10	11	525	53	9	13	523	527	49	57	1099	252.181	44.2286	0.19374	1	1	-1
1394.9	122744	22226.7	1257.76	254.055	867631	102.572	102.572	467.328	278.205	274.679	2854.5	274.901	243.877	2516.71	11	11	878	32	9	13	876	880	28	36	1112	252.474	41.4004	0.181351	1	1	-1
1590.61	70089.2	8838.9	1053.17	221.835	882034	146.363	146.363	377.333	282.997	291.143	3036.41	330.611	369.218	2998.9	9	12	501	13	10	14	499	503	9	17	1135	168.099	35.1996	0.154189	1	1	-1
1464.56	70389.6	36299.5	1031.49	240.448	929370	129.274	129.274	466.044	262.886	279.223	2948.37	204.557	249.592	2719.54	9	12	504	51	10	14	502	506	47	55	1147	196.045	38.598	0.169076	1	1	-1
1472.25	77099.4	16665.3	1295.51	251.982	1.20789e+06	145.565	145.565	491.596	270.946	271.098	2879.41	212.25	239.366	2795.35	8	12	552	24	10	14	550	554	20	28	1201	239.769	51.8799	0.227256	1	1	-1
1511.32	103843	18570.9	674.182	251.38	1.3685e+06	186.286	186.286	650.548	276.613	279.204	2997.56	251.316	243.015	3240.89	11	12	743	26	10	14	741	745	22	30	1137	185.478	35.3053	0.154652	1	1	-1
1503.12	105287	15750.3	948.665	254.873	1.06912e+06	122.902	122.902	455.346	274.14	281.164	2870.78	243.123	286.525	2610.32	10	12	753	23	10	14	751	755	19	27	849	193.159	37.2657	0.16324	1	1	-1
1554.21	122084	26076.3	847.897	260.385	1.29117e+06	133.316	133.316	508.325	274.016	285.408	2907.66	294.208	284.14	2716.26	9	12	873	37	10	14	871	875	33	41	921	208.451	36.1972	0.158559	1	1	-1
1539.61	131198	37004.6	1119.68	251.941	882312	124.792	124.792	508.402	279.555	282.927	2925.85	279.61	298.482	2694.55	10	12	938	52	10	14	936	940	48	56	1043	257.797	45.1403	0.197733	1	1	-1
1496.72	140675	13185	882.539	267.252	1.1592e+06	131.708	131.708	571.245	268.925	281.898	2933.95	236.718	254.556	2965	9	12	1006	19	10	14	1004	1008	15	23	1062	214.003	40.222	0.176189	1	1	-1
1685.55	72874.9	19119.2	880.481	248.908	998981	133.372	133.372	466.749	279.415	270.849	2846.47	285.549	214.885	3059.24	9	13	522	27	11	15	520	524	23	31	957	170.714	32.47	0.142232	1	1	-1
1718.45	73908.5	17972.9	962.143	241.313	856284	141.524	141.524	453.488	284.476	277.797	2844.7	318.448	268.5	2642.94	9	13	529	26	11	15	527	531	22	30	1020	200.215	38.0648	0.16674	1	1	-1
1674.29	119035	31469	1415.62	278.858	1.60818e+06	113.699	113.699	410.57	287.021	286.427	3022.83	274.289	315.478	2999.03	12	13	851	44	11	15	849	853	40	48	1523	245.058	45.1924	0.197962	1	1	-1
1818.62	109775	23691	2882.26	259.213	861221	129.219	129.219	154.307	276.82	276.088	2887.69	278.622	294.735	2521.02	22	14	785	34	12	16	783	787	30	38	1116	213.094	38.4114	0.168258	1	1	-1
1825.68	121118	16401.1	1175.34	263.362	1.1227e+06	139.983	139.983	511.332	282.51	282.199	3022.22	285.679	298.5	3261.13	9	14	866	23	12	16	864	868	19	27	1143	276.996	46.9928	0.205848	1	1	-1
1928.56	64045	29649.5	1120.02	260.793	1.25628e+06	149.717	149.717	545.8	278.601	292.669	2915.37	248.56	344.987	2639.47	10	15	458	42	13	17	456	460	38	46	1054	244.881	50.6665	0.221941	1	1	-1
2100.36	126437	22802	957.56	256.766	1.09119e+06	135.282	135.282	407.707	283.254	283.395	2955.32	280.361	297.108	3091.97	10	16	904	32	14	18	902	906	28	36	990	175.794	35.0749	0.153643	1	1	-1
2173.5	133155	27558.3	1771.34	278.583	1.89279e+06	122.004	122.004	380.437	294.681	287.796	2933.3	353.496	295.492	3468.35	12	16	952	38	14	18	950	954	34	42	1536	262.179	53.4126	0.23397	1	1	-1
2100.17	135564	34701.5	957.497	257.117	1.07851e+06	138.603	138.603	462.66	281.033	280.031	3020.32	280.172	324.479	3311.5	9	16	969	48	14	18	967	971	44	52	922	190.959	38.1985	0.167326	1	1	-1
2152.28	136868	18399.4	1064.02	272.701	1.18217e+06	138.157	138.157	408.082	284.363	292.158	2987.54	332.284	367.917	3069.38	9	16	978	26	14	18	976	980	22	30	1116	192.429	39.7448	0.174099	1	1	-1
2207.68	89439.3	29956.8	649.145	247.48	792497	144.903	144.903	632.902	273.981	279.592	2953.14	247.678	259.307	2946.82	10	17	640	42	15	19	638	642	38	46	792	182.904	33.392	0.146271	1	1	-1
