FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 23-Aug-2017 
COMMENT	
IMG_Raw	20170604_oocyte_stg6_phalloidin-488_smFISH_grk546_Z_grk.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	20170604_oocyte_stg6_phalloidin-488_smFISH_grk546_Z_grk__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	730	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
5448.83	115381	12308.8	5364.36	234.234	7.97901e+06	251.044	251.044	209.457	270.444	284.088	3396.3	268.831	300.874	3548.77	11	40	825	17	38	42	823	827	13	21	3588	347.308	90.0739	0.377107	1	1	-1
10594.5	80771	32149.6	1377.51	321.93	1.75769e+06	131.749	131.749	509.334	275.045	270.843	2878.26	234.542	271.022	2949.55	9	77	578	45	75	79	576	580	41	49	1649	301.222	55.6384	0.232938	1	1	-1
10776	74494.6	26909.6	1228.87	299.568	1.84996e+06	174.152	174.152	528.687	277.869	284.17	2970.11	275.959	294.584	2819.57	8	78	533	38	76	80	531	535	34	42	1302	276.473	52.0661	0.217982	1	1	-1
10966.2	83179.4	23643.3	1167.64	300.678	2.70422e+06	159.52	159.52	556.482	288.977	289.107	2698.03	326.183	299.362	2473.27	12	79	595	34	77	81	593	597	30	38	1349	293.965	61.1683	0.256089	1	1	-1
11355.1	65283.3	26937.2	1242.34	285.642	1.27974e+06	140.982	140.982	523.63	282.226	286.128	2831.56	295.133	323.342	2847.25	8	82	467	38	80	84	465	469	34	42	1372	283.601	51.7533	0.216672	1	1	-1
12003.3	82812.8	17323	1659.38	291.678	1.43832e+06	138.573	138.573	432.177	272.914	266.46	2805.7	243.26	212.797	2722.98	8	87	593	25	85	89	591	595	21	29	1368	285.37	59.5616	0.249363	1	1	-1
13024.7	89847.7	20650.6	1423.58	305.117	1.7585e+06	153.2	153.2	480.365	282.647	272.819	2954.16	284.709	247.739	3130.57	9	94	643	29	92	96	641	645	25	33	1534	292.473	59.1931	0.24782	1	1	-1
13485.2	64916.2	21080.1	1565.68	283.98	1.24752e+06	138.92	138.92	423.637	286.573	272.292	2964.92	325.168	236.158	2830.09	9	97	465	30	95	99	463	467	26	34	1415	281.93	55.7283	0.233314	1	1	-1
13632.4	84914.2	14569.6	1915.73	314.537	2.60081e+06	118.686	118.686	420.05	278.045	271.637	2999.61	332.448	214.218	2889.61	11	98	608	21	96	100	606	610	17	25	1768	277.197	60.4007	0.252876	1	1	-1
13748.7	72459.9	17713	1232.05	296.313	2.68076e+06	154.956	154.956	586.813	293.729	260.17	2997.05	308.716	219.915	3113	11	99	519	25	97	101	517	521	21	29	1426	280.799	58.667	0.245617	1	1	-1
13925.3	89412.2	24736.7	1544.34	362.006	4.5206e+06	126.857	126.857	392.362	272.35	276.227	3154.34	345.309	232.231	2836.65	12	100	640	35	98	102	638	642	31	39	1489	281.405	64.9767	0.272034	1	1	-1
14419.9	75941	21054.7	1188.66	296.078	2.10417e+06	157.245	157.245	568.4	283.439	295.627	2847.96	279.942	340.996	2804.75	8	104	543	30	102	106	541	545	26	34	1544	294.573	56.4633	0.236391	1	1	-1
15080.8	94005.8	30432	1287.59	280.607	1.26515e+06	120.584	120.584	527.487	272.722	267.969	2845.22	240.79	205.796	2692.05	9	109	673	43	107	111	671	675	39	47	1098	265.449	50.7074	0.212293	1	1	-1
16526.2	83376.6	31220.3	1766.58	376.813	3.46502e+06	142.004	142.004	481.94	280.351	272.044	2765.06	286.249	216.648	2750.34	9	119	597	44	117	121	595	599	40	48	1732	351.448	75.65	0.316719	1	1	-1
16839.4	121330	25536.2	1592.92	284.96	1.44533e+06	142.372	142.372	437.844	285.432	270.106	2923.49	319.37	229.698	2906.17	9	121	868	36	119	123	866	870	32	40	1370	279.391	59.3229	0.248363	1	1	-1
17058	56417.8	33602.2	1189.27	268.754	1.02145e+06	127.285	127.285	482.799	281.224	277.445	2880.37	258.006	277.759	2942.23	8	123	404	47	121	125	402	406	43	51	1269	263.643	45.8176	0.191822	1	1	-1
