FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 18-Jun-2018 
COMMENT	
IMG_Raw	C2-20180605_Oocyte_stg6_phalloidin488_grk546_grkintron647_30x_SI_gal_ave4_Z_001_grk.oir.ome.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	C2-20180605_Oocyte_stg6_phalloidin488_grk546_grkintron647_30x_SI_gal_ave4_Z_001_grk.oir.ome__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	760	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
395.245	130331	23284.8	817.789	478.329	3.08637e+06	268.636	268.636	665.006	276.993	280.901	3008.7	255.245	271.169	2764.84	10	4	932	32	2	6	930	934	28	36	1318	175.235	41.6792	0.169657	1	1	-1
990.188	128796	18361.1	694.844	606.592	1.08799e+07	254.343	254.343	1650.09	279.258	283.45	2876.22	290.188	276.322	2401.12	15	8	921	26	6	10	919	923	22	30	1648	249.746	77.3856	0.315001	1	1	-1
1058.85	132074	14785.6	970.96	459.787	4.25643e+06	299.222	299.222	687.274	287.473	289.824	2799.79	358.851	333.61	2625.58	10	8	944	21	6	10	942	946	17	25	1709	175.811	47.5033	0.193364	1	1	-1
1322.23	129763	21303.3	1208.96	562.688	4.92718e+06	233.82	233.82	749.559	290.142	263.769	3045.68	342.229	122.547	3063.34	8	10	929	29	8	12	927	931	25	33	1937	221.254	58.3289	0.23743	1	1	-1
1346.35	129232	17405.3	822.844	563.85	6.60434e+06	280.848	280.848	815.514	280.138	274.102	3278.41	226.347	151.68	3725.32	13	11	925	23	9	13	923	927	19	27	1640	189.807	55.9305	0.227667	1	1	-1
1386.21	131102	22946.5	781.555	437.184	3.56094e+06	262.112	262.112	859.683	276.932	287.486	2837.59	266.212	341.986	2426.5	12	11	937	32	9	13	935	939	28	36	1605	222.411	52.8387	0.215082	1	1	-1
1402.11	133720	24162.3	805.95	489.704	4.26925e+06	222.839	222.839	756.451	270.821	279.796	3342.95	282.106	300.357	3642.28	22	11	956	32	9	13	954	958	28	36	1374	191.048	49.9319	0.20325	1	1	-1
1684.82	142370	6907.6	651.596	481.58	2.12517e+06	134.438	134.438	550.709	283.165	277.471	3022.14	284.815	270.08	3107.6	15	13	1018	10	11	15	1016	1020	6	14	1224	174.224	35.6352	0.145054	1	1	-1
1791.02	135221	6925.59	523.096	459.49	2.76154e+06	170.462	170.462	837.014	276.619	271.704	3025.11	251.022	261.454	3125.59	11	14	967	10	12	16	965	969	6	14	981	184.422	39.6383	0.161349	1	1	-1
1954.54	129318	19226.7	933.694	645.119	9.35448e+06	228.495	228.495	974.829	263.279	301.814	2970.6	274.539	378.026	2506.68	13	15	924	27	13	17	922	926	23	31	1713	291.518	69.4673	0.282769	1	1	-1
