FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 23-Oct-2018 
COMMENT	
IMG_Raw	C2-20180605_oocyte_stg5_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4_Z_010.oir.ome.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	C2-20180605_oocyte_stg5_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4_Z_010.oir.ome__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	720	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
222.481	138312	13570.7	393.987	186.182	728097	327.277	327.277	710.131	275.408	278.455	2863.31	222.481	271.641	2770.68	9	3	989	20	1	5	987	991	16	24	639	71.2486	17.3655	0.0914008	1	1	-1
678.964	139304	13743.5	475.881	187.292	457582	263.383	263.383	509.707	294.451	266.055	2909.8	398.964	144.387	2943.51	9	5	997	20	3	7	995	999	16	24	667	64.5917	16.072	0.0845925	1	1	-1
1296.32	139891	14722.8	446.845	179.828	912321	355.225	355.225	695.054	272.019	284.519	2747.75	176.322	310.998	2482.84	10	11	1000	22	9	13	998	1002	18	26	685	77.057	19.8645	0.104554	1	1	-1
2614.01	141280	15694.3	399.243	178.284	1.13722e+06	365.988	365.988	780.05	276.395	283.447	3105.54	234.006	299.998	3454.32	11	20	1010	22	18	22	1008	1012	18	26	737	91.3112	24.3647	0.12824	1	1	-1
3210.78	142204	16371.3	649.376	182.287	1.02778e+06	282.387	282.387	706.619	279.281	277.289	2805.65	270.776	243.683	2691.33	8	24	1017	24	22	26	1015	1019	20	28	886	120.044	30.7568	0.161884	1	1	-1
3428.04	142885	16930.3	380.337	185.487	750184	491.996	491.996	685.397	271.918	279.115	2782.01	68.0394	225.362	2530.33	14	27	1022	25	25	29	1020	1024	21	29	719	53.9174	13.5317	0.0712221	1	1	-1
23062.7	117979	35371.7	337.028	234.021	402345	209.785	209.785	494.232	273.849	275.176	2851.66	242.67	238.683	2251.66	12	166	844	51	164	168	842	846	47	55	536	56.0645	15.0048	0.0789752	1	1	-1
23295	133760	36048.1	285.788	184.508	652698	321.382	321.382	1026.33	286.142	285.961	2950.31	334.991	340.066	2928.1	11	167	956	51	165	169	954	958	47	55	565	79.163	16.557	0.0871454	1	1	-1
23308	104724	43067.3	189.934	216.71	257388	127.992	127.992	618.177	278.211	282.147	2876.59	207.989	283.797	3467.34	19	168	749	60	166	170	747	751	56	64	378	52.9145	12.9397	0.0681061	1	1	-1
24764.6	113843	27757.4	305.746	211.784	242841	151.368	151.368	305.098	280.064	281.744	2895.59	264.626	302.64	3277.43	13	178	814	39	176	180	812	816	35	43	392	52.318	11.8339	0.062286	1	1	-1
24980.8	108811	43787.7	258.052	233.835	416564	208.446	208.446	575.903	278.563	280.528	2933.46	200.79	311.297	3467.67	10	180	778	61	178	182	776	780	57	65	521	61.6792	14.357	0.0755656	1	1	-1
25840.1	98026.2	22050.9	251.495	206.699	327197	143.276	143.276	510.556	285.056	281.292	3014.58	360.102	306.232	2610.87	14	185	701	32	183	187	699	703	28	36	400	58.5194	13.3839	0.0704438	1	1	-1
25761.3	117853	30411	307.355	219.177	249311	82.2629	82.2629	459.733	276.985	279.917	2908.85	281.303	252.513	3051.04	13	185	843	43	183	187	841	845	39	47	412	56.9207	12.6364	0.0665096	1	1	-1
25778.8	126958	30302.6	165.619	159.408	348482	416.817	416.817	1991	281.923	287.325	3063.24	298.793	398.027	3662.63	15	185	907	42	183	187	905	909	38	46	426	54.0346	11.9668	0.0629854	1	1	-1
26268.3	108928	39047.1	225.277	243.354	504380	242.751	242.751	795.03	276.887	281.943	2833.34	228.347	288.202	3047.13	11	189	779	55	187	191	777	781	51	59	494	59.6919	15.7664	0.0829839	1	1	-1
26846.8	134902	38402.1	105.875	208.441	370527	288.915	288.915	1164.07	278.867	277.275	2948.89	246.849	221.887	3122.09	28	193	965	54	191	195	963	967	50	58	432	54.1896	10.5473	0.055514	1	1	-1
27237.8	101467	42560.2	333.492	226.687	296664	92.1943	92.1943	516.917	279.96	281.612	2847.05	217.779	247.229	2240.25	21	196	726	61	194	198	724	728	57	65	431	53.9527	11.5751	0.0609236	1	1	-1
27579	127136	34701.1	262.696	219.863	306986	172.492	172.492	619.297	277.88	283.995	2961.52	278.977	295.772	3021.12	8	198	909	49	196	200	907	911	45	53	554	72.4704	13.6652	0.0719245	1	1	-1
27711.9	104477	47717	215.691	205.55	288478	159.85	159.85	537.441	277.484	280.823	2857.65	271.898	316.949	3077.04	10	199	747	67	197	201	745	749	63	71	442	53.8779	11.6993	0.0615773	1	1	-1
27999.2	115389	26980.3	366.98	226.796	299509	124.978	124.978	444.636	281.792	284.077	2891.11	279.236	309.259	2500.31	11	201	825	39	199	203	823	827	35	43	519	82.1073	15.6923	0.0825941	1	1	-1
28269.5	105697	19725.6	94.0011	180.562	301706	248.144	248.144	1991	279.87	280.752	3006.43	269.454	276.952	3885.57	58	203	756	27	201	205	754	758	23	31	385	54.5876	11.6604	0.0613728	1	1	-1
28420	97693.2	31726.3	327.573	234.89	375016	158.484	158.484	390.185	279.099	273.776	2945.61	279.989	253.154	3646.31	14	204	699	44	202	206	697	701	40	48	541	58.8371	12.8558	0.0676644	1	1	-1
28813.9	109351	27042.4	291.913	224.432	338180	165.286	165.286	573.483	281.097	279.653	2962.82	253.93	291.122	3282.39	10	207	782	38	205	209	780	784	34	42	511	69.5165	15.2981	0.0805193	1	1	-1
29219.3	111055	24255.6	295.984	223.333	326567	184.074	184.074	379.482	278.604	276.44	2998.71	239.304	174.673	3375.61	12	210	795	34	208	212	793	797	30	38	518	63.3178	13.2011	0.0694821	1	1	-1
30097.5	135841	37236.7	651.867	219.716	906529	458.433	458.433	1155.39	312.283	271.417	2662.02	977.452	40.8265	1956.68	15	211	973	54	209	213	971	975	50	58	767	54.1691	19.7112	0.103747	1	1	-1
29853.3	134598	37007.6	590.883	243.567	1.09404e+06	344.319	344.319	992.908	316.719	281.303	2951.45	593.321	338.208	3167.55	11	212	962	52	210	214	960	964	48	56	908	98.3314	25.4453	0.133927	1	1	-1
29757.9	137792	37575.2	183.855	235.119	453230	240.671	240.671	847.892	291.027	277.218	2853.51	357.876	171.897	3015.16	9	213	986	53	211	215	984	988	49	57	496	54.2432	13.1606	0.0692687	1	1	-1
30044.7	134852	36960.3	635.103	237.059	2.08285e+06	384.352	384.352	1328.1	309.888	267.347	3250.4	504.699	171.992	3840.28	11	214	965	51	212	216	963	967	47	55	1005	123.634	38.1897	0.201005	1	1	-1
30048	136673	36878.6	545.167	296.966	1.6705e+06	305.003	305.003	933.553	297.134	268.87	2941.32	367.969	172.824	3038.56	12	215	978	52	213	217	976	980	48	56	1012	118.031	28.1881	0.148364	1	1	-1
30149.1	96309.1	35136.4	355.231	227.1	335757	140.096	140.096	398.302	280.295	275.873	2891.47	329.14	269.124	3456.45	13	216	689	49	214	218	687	691	45	53	473	61.2408	15.14	0.079687	1	1	-1
30338.7	132979	37171.4	665.857	286.796	1.16399e+06	302.947	302.947	685.659	303.995	278.105	2992.43	518.703	259.232	3331.45	10	216	951	52	214	218	949	953	48	56	1033	93.9881	27.1042	0.142659	1	1	-1
30050.4	135798	36551.7	797.927	245.076	3.27366e+06	387.098	387.098	1183.38	276.189	277.998	3241.44	230.399	277.88	3431.72	15	216	971	51	214	218	969	973	47	55	1506	179.267	47.7504	0.251327	1	1	-1
30783.3	131561	36799.1	325.722	246.477	569473	250.049	250.049	592.077	291.862	284.172	2891.74	403.299	240.72	2959.15	7	220	941	52	218	222	939	943	48	56	617	60.8344	17.1345	0.0901847	1	1	-1
30679.8	132754	37192.9	751.892	276.956	1.70371e+06	300.43	300.43	966.774	282.721	305.647	2766.13	299.787	454.289	2632.89	10	220	948	53	218	222	946	950	49	57	1079	157.66	38.8024	0.204231	1	1	-1
30694.2	135820	37191.3	610.735	305.375	3.23076e+06	386.414	386.414	1423.94	282.533	283.936	3072.59	314.211	300.459	3351.29	11	220	971	52	218	222	969	973	48	56	1076	150.814	40.9498	0.215533	1	1	-1
30655.3	137771	36726.5	461.985	277.171	1.60937e+06	246.592	246.592	1357.26	280.632	278.917	3145.25	275.299	291.208	3606.46	23	220	985	51	218	222	983	987	47	55	1010	183.941	37.4168	0.196938	1	1	-1
30802.3	139364	36921.9	332.674	256.47	809154	312.082	312.082	1009.86	289.602	265.069	2726.98	422.281	63.5745	2361.87	14	220	998	53	218	222	996	1000	49	57	733	87.8915	21.7312	0.114379	1	1	-1
30901.6	140488	37482.5	205	249.268	948376	336.966	336.966	1353.02	296.053	271.459	2841.92	521.589	207.629	2922.55	22	220	1005	53	218	222	1003	1007	49	57	641	81.9676	20.7973	0.109463	1	1	-1
30727	133665	37767.5	490.179	214.655	2.71358e+06	492	492	1807.35	277.13	286.928	2662.89	207.003	384.959	2487.55	16	221	955	54	219	223	953	957	50	58	1041	99.7688	32.3901	0.17048	1	1	-1
30622	134288	37672.2	414.897	242.455	1.37182e+06	492	492	1678.11	264.105	271.242	2397.29	-38.0207	167.756	952.18	15	222	961	56	220	224	959	963	52	60	866	63.0552	19.4809	0.102535	1	1	-1
30872.9	135004	37569.4	398.019	243.063	1.75292e+06	492	492	1991	276.149	286.715	3400.83	212.886	463.785	5169.43	20	222	964	50	220	224	962	966	46	54	838	100.117	30.7038	0.161605	1	1	-1
30960.9	136163	38014	514.523	298.633	2.86674e+06	491.999	491.999	1409.31	283.997	268.449	2798.98	300.883	82.7364	2734.02	16	222	975	54	220	224	973	977	50	58	1214	124.011	39.1892	0.206266	1	1	-1
30979.7	141300	38021.8	315.287	250.254	534846	132.48	132.48	598.501	282.115	274.835	2811.62	319.728	179.654	3461.76	23	222	1011	53	220	224	1009	1013	49	57	532	74.0626	18.0375	0.0949376	1	1	-1
30650.1	133672	36985.5	404.49	222.005	1.49624e+06	492	492	1991	259.387	280.864	3372.43	-149.91	251.781	5305.48	14	223	956	49	221	225	954	958	45	53	861	69.6385	20.4224	0.10749	1	1	-1
30956.6	135155	37513.6	524.723	205.952	2.06218e+06	398.863	398.863	1991	268.127	287.003	2433.29	156.639	335.032	1513.59	16	223	966	55	221	225	964	968	51	59	850	111.862	29.8484	0.157102	1	1	-1
31321.1	136860	38309.3	460.112	228.966	2.43159e+06	472.947	472.947	1991	296.931	265.974	2479.62	521.104	79.8939	1589.25	15	223	980	56	221	225	978	982	52	60	864	112.029	33.6185	0.176946	1	1	-1
31267.5	105571	33478.1	831.344	227.468	316981	128.605	128.605	147.455	279.182	280.918	2803.52	327.453	290.567	3238.12	24	224	755	47	222	226	753	757	43	51	409	57.3992	13.3865	0.0704575	1	1	-1
31170.4	115650	34537.2	302.571	212.512	239221	132.532	132.532	443.407	275.827	277.216	2895.82	230.393	289.987	2857.23	8	224	827	49	222	226	825	829	45	53	460	55.0678	12.2644	0.0645517	1	1	-1
31240.6	132028	35947.6	501.7	276.663	1.31284e+06	194.774	194.774	636.878	282.191	284.793	3200.44	300.582	287.553	3547.64	17	224	944	50	222	226	942	946	46	54	791	127.78	28.9608	0.152431	1	1	-1
30912.8	135541	37315.3	516.145	208.135	1.89944e+06	492	492	1917.22	257.491	282.386	3326.47	-27.2139	300.945	4195.32	14	224	969	51	222	226	967	971	47	55	976	90.5007	26.191	0.137852	1	1	-1
31379.2	136487	37965.8	494.255	249.329	2.81284e+06	492	492	1875.68	282.244	280.087	2559.67	299.19	267.33	1965.78	12	225	976	55	223	227	974	978	51	59	1010	104.492	34.4411	0.181275	1	1	-1
31609.5	140189	36919.6	141.799	278.549	826113	254.39	254.39	1970.36	292.281	283.205	3008.16	529.498	329.362	4519.62	17	225	1002	50	223	227	1000	1004	46	54	646	67.9596	23.3111	0.122694	1	1	-1
31451.2	102396	23595.1	155.132	220.847	340986	168.79	168.79	861.838	276.117	284.186	2821.44	231.237	335.543	2715.1	25	226	732	34	224	228	730	734	30	38	475	56.4651	12.3109	0.0647968	1	1	-1
31309.6	132525	36946.5	208.496	262.307	1.07956e+06	424.584	424.584	1808.62	271.436	279.378	2941.21	89.5925	225.055	3106.49	19	226	948	52	224	228	946	950	48	56	603	54.0555	20.6077	0.108465	1	1	-1
31408.1	134061	39003.7	516.807	267.666	789392	212.087	212.087	691.839	262.057	288.098	2854.38	188.09	360.572	3003.67	8	226	958	55	224	228	956	960	51	59	796	114.839	32.5275	0.171203	1	1	-1
31422.3	134534	34145	273.152	267.201	1.01752e+06	191.489	191.489	533.594	264.155	286.257	3003.65	202.284	273.882	2465.05	29	226	962	49	224	228	960	964	45	53	703	54.1673	18.0673	0.0950945	1	1	-1
31525.3	136325	37614.7	481.123	230.063	2.14387e+06	492	492	1991	275.894	286.762	3556.61	305.302	385.037	5934.7	16	226	974	49	224	228	972	976	45	53	1010	96.3035	31.7039	0.166869	1	1	-1
31563.5	138217	38484.5	562.715	361.306	2.0939e+06	225.807	225.807	1187.66	297.348	283.801	2929.22	343.462	317.274	3204.48	10	226	988	54	224	228	986	990	50	58	989	198.053	44.4206	0.233801	1	1	-1
31652.5	87886.3	31213.1	295.779	243.343	347323	79.1583	79.1583	454.338	280.163	278.253	2912.79	292.461	246.333	3133.11	22	227	629	44	225	229	627	631	40	48	418	52.2283	12.1446	0.063921	1	1	-1
31614.6	107444	32596.5	293.764	211.571	252226	155.137	155.137	429.679	278.103	286.404	2901.28	254.567	344.313	3076.52	9	227	768	46	225	229	766	770	42	50	427	55.2448	12.8389	0.0675758	1	1	-1
31687.2	140251	37927.8	307.878	205.961	948071	283.683	283.683	1594.69	284.608	274.261	2618.03	327.217	251.097	1927.79	11	227	1003	55	225	229	1001	1005	51	59	646	98.6775	28.0442	0.147606	1	1	-1
