FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Oct-2018 
COMMENT	
IMG_Raw	C2-20180608_B2_oocyte_stg4_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4__Z_019.oir.ome.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	C2-20180608_B2_oocyte_stg4_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4__Z_019.oir.ome__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	720	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
384.312	9534.32	22562.7	286.798	216.512	244894	127.712	127.712	264.321	279.625	283.788	2952.14	244.312	294.317	3122.74	10	4	69	32	2	6	67	71	28	36	392	39.6651	10.1649	0.413823	1	1	-1
315.378	24888.6	35742.4	82.9346	217.131	325057	236.649	236.649	1991	271.326	278.621	2929.33	175.378	248.554	3342.35	21	4	179	50	2	6	177	181	46	54	381	39.6251	12.2082	0.497008	1	1	-1
374.317	31528.5	33106.4	231.326	235.687	288695	102.781	102.781	338.695	276.092	277.143	2914.83	234.317	308.478	3586.41	17	4	226	46	2	6	224	228	42	50	386	39.1042	10.23	0.416474	1	1	-1
618.76	33363.6	23028.4	100.643	230.569	292397	125.463	125.463	1148.45	283.397	281.011	2854.07	338.76	323.561	2868.4	19	5	239	33	3	7	237	241	29	37	396	37.7612	10.0507	0.409173	1	1	-1
826.275	32357.7	32393.2	83.981	222.269	316672	216.194	216.194	1053.74	281.79	281.589	2917.85	266.275	297.668	3593.21	14	7	232	45	5	9	230	234	41	49	391	42.0121	10.0441	0.408904	1	1	-1
996.059	6887.95	25592.2	484.485	223.078	254105	110.165	110.165	132.323	277.327	283.762	2890.76	296.059	307.951	3272.21	24	8	50	36	6	10	48	52	32	40	333	37.1827	10.2015	0.415313	1	1	-1
1004.61	18796.7	30706.2	226.261	220.867	270388	140.396	140.396	437.256	282.343	280.916	2864.5	304.605	316.65	2626.23	13	8	135	44	6	10	133	137	40	48	420	49.1995	10.1578	0.413533	1	1	-1
1062.99	17224.4	31143.1	151.546	219.535	268806	109.515	109.515	578.096	281.135	280.069	2871.66	222.991	284.426	3063.07	32	9	124	44	7	11	122	126	40	48	356	37.0642	10.0556	0.409372	1	1	-1
1074.06	24839.4	13968.6	2379.18	224.225	250586	26.5245	26.5245	336.835	274.825	283.886	2869.08	234.058	339.4	2448.62	26	9	178	21	7	11	176	180	17	25	407	44.6781	11.3025	0.460136	1	1	-1
1086.66	32329.4	25266.2	374.069	235.379	315166	79.5359	79.5359	375.466	283.335	285.681	2881.95	246.658	409.363	2946.15	13	9	231	36	7	11	229	233	32	40	492	37.5496	10.0513	0.409197	1	1	-1
