FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Oct-2018 
COMMENT	
IMG_Raw	C2-20180703_a1_grk_OE_oocyte_stg5_phalloidin488_grk546_30x_SI_gal_ave4_L140__Z_004.oir.ome.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	C2-20180703_a1_grk_OE_oocyte_stg5_phalloidin488_grk546_30x_SI_gal_ave4_L140__Z_004.oir.ome__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	720	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
367.513	119530	31919.3	650.778	313.352	2.16355e+06	246.931	246.931	862.295	291.592	277.126	3063.53	367.513	250.155	3119.26	8	3	855	45	1	5	853	857	41	49	1021	197.278	47.4942	0.163825	1	1	-1
205.824	119611	45513.6	374.753	307.727	1.15316e+06	178.818	178.818	998.916	265.372	287.738	2804.23	205.824	331.282	2313.56	15	3	855	65	1	5	853	857	61	69	831	124.537	30.4319	0.10497	1	1	-1
379.134	125705	26965.5	261.281	351.247	2.05708e+06	249.767	249.767	1991	288.521	295.807	3044.3	379.134	404.629	3925.54	18	3	898	37	1	5	896	900	33	41	866	112.638	34.2811	0.118248	1	1	-1
71.435	126971	35950.8	272.682	377.801	1.69392e+06	252.561	252.561	813.768	265.754	278.801	2975.48	71.435	410.661	4270.78	23	3	907	49	1	5	905	909	45	53	815	96.3168	27.5208	0.0949292	1	1	-1
293.855	126805	49297.8	424.755	348.253	1.18838e+06	214.728	214.728	639.268	286.128	283.426	2922.22	293.855	244.884	2497.78	10	3	907	70	1	5	905	909	66	74	822	103.838	27.146	0.0936364	1	1	-1
175.417	128179	44104.1	284.385	352.187	1.27159e+06	194.315	194.315	1134.73	278.284	270.079	2991.9	175.417	218.502	3784.09	13	3	917	61	1	5	915	919	57	65	758	102.278	29.291	0.101035	1	1	-1
136.998	129637	27690.6	194.409	351.761	1.82475e+06	243.057	243.057	1578.07	270.568	278.042	2971.72	136.998	276.682	3930.61	24	3	927	38	1	5	925	929	34	42	759	97.4176	33.0123	0.113871	1	1	-1
253.185	130118	23807.9	561.781	353.847	1.19713e+06	130.119	130.119	374.986	276.235	281.061	2946.3	253.185	338.39	2207.93	13	3	930	35	1	5	928	932	31	39	758	96.3682	28.2155	0.0973254	1	1	-1
245.923	131311	21441.5	390.72	355.928	2.24643e+06	184.782	184.782	470.034	271.398	273.32	3076.25	245.923	271.107	2721.51	15	3	939	31	1	5	937	941	27	35	863	91.877	33.3308	0.11497	1	1	-1
199.071	132823	23785.8	454.152	397.254	1.57026e+06	163.809	163.809	918.537	270.626	275.897	2932.36	199.071	242.966	2905.8	10	3	950	34	1	5	948	952	30	38	861	146.266	37.5739	0.129606	1	1	-1
