FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 27-Jun-2018 
COMMENT	
IMG_Raw	C2-20180605_20180605_oocyte_stg5_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4_Z_002_grk.oir.ome.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	C2-20180605_20180605_oocyte_stg5_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4_Z_002_grk.oir.ome__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	760	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
291.563	22115.4	13794.9	228.026	165.504	448371	350.598	350.598	1474.02	280.699	293.021	3058.51	291.563	415.418	3154.87	10	3	158	19	1	5	156	160	15	23	536	54.2083	14.2747	0.0695815	1	1	-1
267.433	115947	37614.5	239.42	190.637	294179	193.313	193.313	561.499	279.956	283.035	2829.73	267.433	306.804	2654.53	9	3	829	51	1	5	827	831	47	55	420	60.2104	12.509	0.0609746	1	1	-1
620.009	31241.3	21443.9	232.843	181.352	307079	312.39	312.39	1136.85	286.987	282.519	2836.99	340.009	301.346	2443.88	12	5	224	30	3	7	222	226	26	34	487	62.9369	13.6121	0.066352	1	1	-1
734.718	32430.8	11268.6	186.71	239.772	496487	236.172	236.172	891.033	289.341	278.74	3110.58	314.718	230.833	3668.61	9	6	233	15	4	8	231	235	11	19	507	57.3702	13.5266	0.0659349	1	1	-1
968.39	35335.4	7363.04	211.529	216.305	477484	226.652	226.652	708.3	281.992	277.803	3150.11	268.39	195.354	2803.04	14	8	254	11	6	10	252	256	7	15	535	55.5732	13.5568	0.0660822	1	1	-1
954.876	126843	30073.1	935.588	223.065	302255	96.0845	96.0845	157.209	275.463	286.481	2938.71	254.876	282.528	3473.11	23	8	907	40	6	10	905	909	36	44	467	57.3905	12.3302	0.0601034	1	1	-1
1195.44	120876	19771.3	393.471	229.499	397427	118.853	118.853	422.731	277.429	289.1	2921.88	355.439	335.621	3051.27	11	9	864	27	7	11	862	866	23	31	513	56.9394	13.5938	0.0662625	1	1	-1
1274.39	67913.9	3927.78	376.503	170.826	257315	208.722	208.722	567.733	280.894	278.661	3082.75	294.386	293.863	3167.78	9	10	486	6	8	12	484	488	2	10	601	89.2767	15.2651	0.0744093	1	1	-1
1222.85	127542	28362.5	339.656	230.575	347485	159.565	159.565	448.211	278.533	277.621	2964.44	242.851	281.666	3282.53	10	10	912	38	8	12	910	914	34	42	482	57.5931	14.5116	0.0707365	1	1	-1
1615.45	33767.2	16920.2	223.775	181.493	638206	442.343	442.343	1991	286.481	271.737	2867.04	355.453	167.174	2480.2	19	12	243	24	10	14	241	245	20	28	554	58.6041	16.6912	0.0813607	1	1	-1
1574.1	131348	19894.9	298.981	232.047	623005	265.418	265.418	1124.01	271.5	282.921	3062.98	174.099	307.991	3174.88	10	13	939	27	11	15	937	941	23	31	562	82.6852	20.4523	0.099694	1	1	-1
1798.68	32369.7	13590.3	223.798	259.011	493066	148.2	148.2	545.842	277.076	275.901	2984.25	258.676	309.657	2950.26	10	14	232	19	12	16	230	234	15	23	503	57.4389	14.9323	0.0727869	1	1	-1
1855.08	139791	20173.7	218.483	240.822	445174	161.04	161.04	515.092	275.476	287.932	3035.03	315.083	350.612	2693.74	14	14	999	28	12	16	997	1001	24	32	507	57.3667	13.7605	0.0670752	1	1	-1
2219.03	27401.5	14854.7	169.664	249.011	475344	204.225	204.225	845.498	279.152	279.39	3049.3	259.032	241.469	2694.75	14	17	197	21	15	19	195	199	17	25	481	54.266	13.7371	0.0669612	1	1	-1
2189.62	124394	25400.4	328.247	233.876	439314	142.931	142.931	439.672	271.514	276.283	3092.57	229.617	213.799	2600.39	30	17	890	35	15	19	888	892	31	39	517	59.8467	14.0813	0.0686388	1	1	-1
2231.88	136340	25642	483.302	244.41	450221	221.244	221.244	588.976	284.035	277.433	2957.43	271.884	260.438	2841.96	7	17	975	35	15	19	973	977	31	39	731	96.3751	21.524	0.104918	1	1	-1
2280.7	36446.5	17335.8	302.675	253.891	500182	143.108	143.108	439.518	277.992	283.444	2933.3	180.704	326.505	2895.78	12	18	261	24	16	20	259	263	20	28	494	59.5366	15.0812	0.0735128	1	1	-1
2543.9	35715.8	8393.04	179.427	234.409	544066	225.37	225.37	825.933	280.533	281.688	3144.61	303.898	295.813	3073.04	9	19	256	12	17	21	254	258	8	16	519	64.2293	14.0953	0.068707	1	1	-1
2441.94	142974	33487.6	155.529	220.601	448314	230.294	230.294	1771.48	271.964	282.773	2913.96	201.936	314.008	2327.62	39	19	1022	46	17	21	1020	1024	42	50	483	73.052	16.0603	0.0782855	1	1	-1
2784.56	23888.3	13224.1	138.528	213.201	680283	492	492	1991	284.411	281.995	2827.59	404.563	228.338	1824.13	16	20	172	20	18	22	170	174	16	24	498	54.9235	13.9794	0.0681422	1	1	-1
2971.01	48245.5	16391	241.354	185.32	777116	293.761	293.761	1406.73	285.929	289.409	2907.09	311.005	365.472	2711.03	17	22	345	23	20	24	343	347	19	27	583	72.5388	18.7672	0.0914805	1	1	-1
2963.49	131849	18727	227.133	243.44	371833	111.665	111.665	680.034	280.446	279.697	3047.27	303.486	248.784	3526.96	11	22	943	25	20	24	941	945	21	29	400	57.5935	14.7143	0.0717244	1	1	-1
3204.32	30586	8256.52	163.189	190.953	498872	361.576	361.576	1991	278.695	274.992	3203	264.325	206.024	3696.52	15	24	220	11	22	26	218	222	7	15	441	64.1906	13.7315	0.066934	1	1	-1
3135.08	40703.4	13832.4	86.6843	266.242	716761	396.49	396.49	1411.84	281.994	284.069	3181.1	195.077	383.377	4712.36	15	24	291	17	22	26	289	293	13	21	518	54.5127	13.8476	0.0675	1	1	-1
3589.55	128726	21329.7	320.264	222.047	337951	166.109	166.109	506.141	276.626	273.56	3117.82	229.547	205.71	3849.7	14	27	921	28	25	29	919	923	24	32	521	60.6277	15.1439	0.0738185	1	1	-1
3878.11	24791.4	12434.2	251.395	195.372	440338	316.881	316.881	1363.7	275.423	268.133	3128.18	238.111	151.443	3314.18	10	29	179	17	27	31	177	181	13	21	508	65.1572	15.3139	0.0746473	1	1	-1
4494.34	29907.9	12095.9	359.565	266.983	491292	83.6682	83.6682	496.764	286.378	275.04	3074.22	294.339	227.853	2975.85	14	33	215	17	31	35	213	217	13	21	503	55.3458	14.6698	0.0715078	1	1	-1
4785.64	131392	19248	147.471	191.25	443950	327.3	327.3	1991	269.326	285.224	2838.42	165.644	351.936	1768	16	36	939	28	34	38	937	941	24	32	413	60.1977	14.913	0.0726929	1	1	-1
5265.31	30873.7	10937.3	189.696	238.571	428680	238.45	238.45	939.234	286.943	283.857	3097.03	365.31	353.68	3337.25	11	38	221	15	36	40	219	223	11	19	573	65.9849	14.5461	0.0709045	1	1	-1
5232.19	26736.1	12628.9	689.045	255.571	583548	142.786	142.786	165.725	279.796	281.368	3077.88	192.195	276.082	2748.95	16	39	192	18	37	41	190	194	14	22	511	57.2259	13.9874	0.0681811	1	1	-1
5242.52	42937.9	13803.5	217.495	177.144	770941	468.257	468.257	1947.71	268.049	275.507	2871.23	62.5206	237.898	2403.52	15	40	308	20	38	42	306	310	16	24	541	55.845	14.9607	0.0729254	1	1	-1
6140.64	40404.3	13107.2	178.149	215.286	620045	399.554	399.554	1991	287.42	273.487	2918.95	400.637	224.287	2467.24	19	44	290	19	42	46	288	292	15	23	491	54.7788	12.6748	0.0617831	1	1	-1
6003.21	140169	29879	399.114	231.949	293855	71.5118	71.5118	483.045	277.223	281.368	3066.1	263.206	308.611	3279	20	44	1002	40	42	46	1000	1004	36	44	464	59.1986	12.3329	0.0601162	1	1	-1
6136.01	34113.7	11605.1	181.555	261.823	542472	191.852	191.852	623.799	277.119	281.65	3146.55	256.006	233.74	3245.15	14	45	245	16	43	47	243	247	12	20	453	54.6081	13.8313	0.0674202	1	1	-1
6652.46	39193.8	7690.9	192.581	242.758	510899	227.276	227.276	671.594	281.126	278.823	2927.61	352.459	273.78	2370.9	21	48	281	12	46	50	279	283	8	16	497	55.4148	12.4345	0.0606116	1	1	-1
6799.13	43176.1	10316.7	251.934	179.896	646770	492	492	1991	293.74	284.632	2738.22	499.127	336.089	1956.68	15	48	309	16	46	50	307	311	12	20	550	57.8076	15.2706	0.0744363	1	1	-1
6666.13	134319	21327.7	341.332	221.994	405981	167.014	167.014	493.606	288.301	282.077	2891.2	366.132	338.603	2327.67	21	48	960	30	46	50	958	962	26	34	629	59.3483	14.443	0.070402	1	1	-1
6885.74	40437.3	11018.2	202.803	299.934	582741	170.135	170.135	592.337	284.86	285.489	3096.68	305.737	397.305	3418.19	34	50	289	15	48	52	287	291	11	19	494	56.3994	13.6532	0.0665521	1	1	-1
7286.79	133844	19021.8	377.446	230.679	426815	124.488	124.488	536.674	274.371	284.351	3072.11	286.792	283.992	3061.77	13	53	957	26	51	55	955	959	22	30	621	84.5201	16.0641	0.078304	1	1	-1
7611.59	27170.6	12056.8	238.195	173.623	789376	470.079	470.079	1930.33	287.573	291.46	3235	471.586	430.551	3696.8	20	54	194	16	52	56	192	196	12	20	484	54.6528	16.6944	0.0813765	1	1	-1
7556.66	34089.7	9834.36	279.357	256.075	420015	149.795	149.795	467.801	281.221	280.035	2961.03	276.663	349.686	2234.36	14	55	244	15	53	57	242	246	11	19	532	59.73	14.3452	0.0699255	1	1	-1
7554.54	129950	11713	230.781	218.192	265598	167.159	167.159	687.763	280.456	283.752	3156.42	274.536	310.282	3353.02	12	55	929	16	53	57	927	931	12	20	452	61.3599	13.5105	0.0658564	1	1	-1
7978.52	44526.6	13046.5	229.059	179.906	542385	431.777	431.777	1860.72	292.163	277.994	2861.09	418.52	286.567	2406.53	14	57	319	19	55	59	317	321	15	23	517	59.3296	14.9493	0.0728698	1	1	-1
8005.83	44988.9	12128.3	172.209	239.42	652440	268.576	268.576	1401.71	283.85	278.048	3202.98	305.827	188.864	3768.28	24	58	323	16	56	60	321	325	12	20	521	57.3554	15.2043	0.0741129	1	1	-1
8243.43	43718.8	23088.6	287.507	193.358	294497	187.012	187.012	706.943	276.497	284.758	3102.98	263.435	318.805	3328.6	11	60	313	31	58	62	311	315	27	35	462	82.1406	14.9639	0.0729413	1	1	-1
8827.33	50790.3	9724.43	262.948	216.447	507019	233.141	233.141	1031.93	279.306	269.782	2997.21	287.333	250.27	2884.43	12	64	364	14	62	66	362	366	10	18	561	80.0789	16.7915	0.0818497	1	1	-1
9134.66	36909.6	7844.24	154.466	220.75	615383	371.742	371.742	1991	281.291	275.261	3328.4	314.656	229.59	4804.24	15	66	265	9	64	68	263	267	5	13	474	57.9075	15.9171	0.0775874	1	1	-1
9102.21	124818	29317	191.768	218.19	325069	198.148	198.148	658.862	283.819	278.181	2998.25	282.213	218.182	2717.03	11	66	893	40	64	68	891	895	36	44	444	54.6387	12.8911	0.0628374	1	1	-1
9432.45	41218.6	20741.6	220.929	202.127	624248	384.343	384.343	1339.58	281.603	274.832	2844.16	332.449	198.602	2501.64	20	68	296	29	66	70	294	298	25	33	598	71.4962	15.6911	0.076486	1	1	-1
