FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 06-Sep-2018 
COMMENT	
IMG_Raw	C2-20180605_oocyte_stgE8_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4_Z_009.oir.ome.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	C2-20180605_oocyte_stgE8_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4_Z_009.oir.ome__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	760	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
4240.88	10292.7	53090.5	439.08	211.881	1.02654e+06	296.628	296.628	1247.54	280.739	284.534	3020.48	320.884	352.727	2930.47	12	31	74	71	29	33	72	76	67	75	801	104.243	25.2608	0.106627	1	1	-1
5274.02	8032.65	53257.7	665.953	119.077	2.7301e+06	436.733	436.733	1934.41	271.885	265.595	3083.7	234.016	192.645	3097.74	12	39	59	71	37	41	57	61	67	75	1007	137.795	37.7313	0.159265	1	1	-1
5682.93	7777.76	53123.1	496.369	214.903	1.78509e+06	427.945	427.945	1675.65	274.585	284.593	3326.87	222.932	357.761	3723.1	12	42	56	70	40	44	54	58	66	74	847	114.02	30.6986	0.12958	1	1	-1
6161.5	7405.92	52824.8	412.056	268.199	1.99524e+06	406.769	406.769	1443.71	278.123	287.132	3202.19	281.5	405.918	3424.75	14	45	53	70	43	47	51	55	66	74	974	111.585	27.9857	0.118128	1	1	-1
6829.09	6942.73	52811.1	536.906	285.982	1.96383e+06	292.346	292.346	1112.62	274.585	271.06	2939.99	249.088	222.728	2651.14	10	50	51	71	48	52	49	53	67	75	974	149.692	30.8111	0.130055	1	1	-1
7406.81	6984.65	17340	427.366	237.828	693884	183.879	183.879	772.534	301.342	275.094	3078.09	406.813	264.651	2899.99	13	53	51	24	51	55	49	53	20	28	727	108.125	26.0652	0.110022	1	1	-1
7377.91	6702.68	52852.7	535.66	273.905	1.93671e+06	296.536	296.536	1065.03	272.613	276.291	2943.21	237.91	262.676	2692.7	10	54	49	71	52	56	47	51	67	75	951	120.053	31.1336	0.131416	1	1	-1
8328.94	7728.71	15764	448.419	260.33	636512	149.221	149.221	639.947	288.662	283.374	3144.13	348.942	308.708	2844.04	11	60	56	22	58	62	54	58	18	26	655	115.108	25.7064	0.108508	1	1	-1
8375.96	9278.08	16421.6	572.139	265.299	1.12511e+06	222.712	222.712	671.177	300.86	276.716	3270.33	395.958	318.079	3501.56	10	60	67	22	58	62	65	69	18	26	804	115.894	28.7344	0.121289	1	1	-1
8446.42	6023.81	52825.4	433.83	241.877	1.54768e+06	382.011	382.011	1367.99	282.776	278.885	2870.27	326.424	283.814	2665.4	12	61	44	71	59	63	42	46	67	75	840	114.01	31.0337	0.130994	1	1	-1
8882.43	10363.9	17780	417.792	274.239	1.33444e+06	263.799	263.799	1107.05	295.218	280.062	3209.79	342.429	283.906	3340	17	64	75	24	62	66	73	77	20	28	872	123.908	28.4361	0.12003	1	1	-1
8988.95	4640.14	14606.7	619.426	298.214	791507	108.708	108.708	442.845	281.551	286.054	3099.24	308.952	300.145	2446.69	15	65	34	21	63	67	32	36	17	25	776	113.15	24.5644	0.103687	1	1	-1
9086.55	9166.96	19124.2	411.499	335.385	1.63802e+06	191.873	191.873	760.105	283.011	275.508	2844.53	266.548	206.958	3164.19	15	66	67	26	64	68	65	69	22	30	772	129.347	31.1387	0.131438	1	1	-1
9481.71	10462.1	19025.6	421.636	217.298	2.25916e+06	479.531	479.531	1991	299.065	274.556	2760.62	521.707	242.07	2305.57	15	67	76	27	65	69	74	78	23	31	860	99.8765	31.4229	0.132637	1	1	-1
9739.7	9875.49	18480.5	351.768	319.534	2.99397e+06	323.608	323.608	1991	288.68	289.158	2876.7	359.703	355.487	2520.46	15	70	71	26	68	72	69	73	22	30	860	133.102	35.2024	0.148591	1	1	-1
9762.35	10908.3	18973.6	978.748	409.331	3.56524e+06	178.542	178.542	487.507	282.898	273.207	3329.78	242.349	268.252	3013.62	17	71	79	26	69	73	77	81	22	30	1341	171.056	42.0768	0.177608	1	1	-1
10119	8272.43	16691.7	502.206	309.188	2.0482e+06	290.627	290.627	1174.96	284.178	282.917	3051.13	318.967	292.433	3011.66	10	73	60	23	71	75	58	62	19	27	1019	147.859	35.8601	0.151367	1	1	-1
