FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 20-Aug-2018 
COMMENT	
IMG_Raw	C2-20180608_oocyte_stg6_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4__Z_016.oir.ome.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	C2-20180608_oocyte_stg6_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4__Z_016.oir.ome__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	760	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
14489.9	98597.2	45213.9	328.072	257.939	588111	227.993	227.993	755.378	272.428	273.485	3091.18	209.937	177.197	3413.94	11	105	706	60	103	107	704	708	56	64	638	80.2739	21.1523	0.111009	1	1	-1
15111.6	99214.7	46199.5	272.973	280.398	729228	188.559	188.559	826	283.304	289.717	2967.39	271.578	374.737	2879.52	10	109	709	62	107	111	707	711	58	66	517	85.97	21.4331	0.112483	1	1	-1
15429.1	104009	44628.9	192.978	300.356	1.37599e+06	240.747	240.747	1991	301.591	280.438	2972.57	449.1	269.47	2828.92	16	110	744	60	108	112	742	746	56	64	617	87.5016	22.685	0.119053	1	1	-1
15812.2	100735	47275.5	298.875	328.369	1.15258e+06	203.906	203.906	919.804	284.151	290.26	2991.25	272.212	354.658	3195.54	11	114	720	63	112	116	718	722	59	67	639	100.503	23.8043	0.124927	1	1	-1
15736.9	102893	47564.4	318.673	287.522	1.60527e+06	302.691	302.691	1352.73	277.517	280.949	2946.84	196.864	273.482	2724.36	11	114	736	64	112	116	734	738	60	68	713	97.5319	28.7579	0.150924	1	1	-1
15776.3	103780	45218.7	1876.76	372.358	1.4713e+06	73.8708	73.8708	138.083	275.429	287.032	3168.71	236.256	319.723	3418.73	29	114	742	60	112	116	740	744	56	64	679	81.1842	22.2459	0.116748	1	1	-1
16273.8	104305	40970.3	220.146	263.443	1.02663e+06	331.348	331.348	1689.54	283.364	271.313	3205.46	313.797	145.126	3730.34	16	117	747	54	115	119	745	749	50	58	693	91.7607	24.755	0.129916	1	1	-1
16256.7	105346	43151.8	222.302	312.403	893811	190.564	190.564	1129.06	278.576	277.503	3131.22	296.733	205.81	3631.83	17	117	754	57	115	119	752	756	53	61	639	81.2719	21.2129	0.111327	1	1	-1
16663.5	103076	40400.7	324.369	302.343	728586	153.869	153.869	596.089	276.821	281.652	3142.88	283.501	315.908	3160.7	15	120	737	54	118	122	735	739	50	58	660	80.5612	19.7443	0.10362	1	1	-1
16797.9	104553	48525.7	263.357	354.119	1.26518e+06	318.112	318.112	802.896	282.36	275.346	3042.13	277.942	253.147	2925.67	11	121	748	65	119	123	746	750	61	69	848	80.8475	21.4765	0.112711	1	1	-1
