FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 21-Aug-2018 
COMMENT	
IMG_Raw	C2-20180703_a1_grk_OE_oocyte_stg6_phalloidin488_grk546_30x_SI_gal_ave4_L140__Z_004.oir.ome.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	C2-20180703_a1_grk_OE_oocyte_stg6_phalloidin488_grk546_30x_SI_gal_ave4_L140__Z_004.oir.ome__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	760	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
335.071	128728	26040.9	357.628	289.927	1.52159e+06	390.538	390.538	1127.4	282.571	287.572	3334.21	335.071	347.598	4000.94	15	3	920	34	1	5	918	922	30	38	911	91.8504	27.0271	0.114689	1	1	-1
215.193	131388	26185.2	511.971	267.885	3.35801e+06	296.778	296.778	1991	268.305	269.238	3395.68	215.193	208.292	4145.23	17	3	940	34	1	5	938	942	30	38	1068	192.873	49.351	0.20942	1	1	-1
402.354	134261	31889.1	544.93	463.064	4.68098e+06	268.023	268.023	842.271	286.874	270.8	2990.98	402.354	280.837	3009.11	12	3	960	43	1	5	958	962	39	47	1135	154.582	51.4358	0.218267	1	1	-1
335.549	134535	26404.1	706.707	430.309	2.67935e+06	209.207	209.207	524.709	281.928	273.556	2953.45	335.549	275.308	2844.11	12	3	962	36	1	5	960	964	32	40	1119	138.691	39.4292	0.167317	1	1	-1
326.554	134786	33558.8	461.933	377.516	3.48519e+06	312.322	312.322	1115.43	290.332	270.489	3051.69	326.554	246.403	3158.8	12	3	964	45	1	5	962	966	41	49	1090	120.636	39.0071	0.165526	1	1	-1
298.028	134819	38817.7	629.531	386.259	1.26487e+06	124.097	124.097	310.98	271.343	286.204	3058.32	298.028	279.199	3097.66	11	3	964	52	1	5	962	966	48	56	774	104.644	28.7519	0.122008	1	1	-1
339.129	135563	23639.1	526.176	269.24	4.64266e+06	447.604	447.604	1991	284.811	281.723	2743.28	339.129	323.025	2359.11	26	3	969	33	1	5	967	971	29	37	1115	178.169	45.2707	0.192106	1	1	-1
335.474	137211	18928	863.9	429.056	3.06886e+06	188.95	188.95	585.483	293.596	281.21	3210.54	335.474	290.649	2967.99	11	3	981	26	1	5	979	983	22	30	1444	192.095	49.1965	0.208765	1	1	-1
106.554	139805	31757.2	297.614	264.212	1.27894e+06	265.745	265.745	1813.97	262.725	274.494	3178.49	106.554	225.471	3637.2	11	3	1000	42	1	5	998	1002	38	46	741	94.9678	29.995	0.127283	1	1	-1
39.018	141447	17712	294.089	251.862	1.40343e+06	438.147	438.147	1991	264.323	273.575	2740.63	39.018	186.785	1751.98	15	3	1012	26	1	5	1010	1014	22	30	746	101.316	28.8059	0.122237	1	1	-1
279.352	142928	30536	541.422	297.096	968696	190.492	190.492	548.544	280.275	272.3	3049.43	279.352	268.189	3176	9	3	1022	41	1	5	1020	1024	37	45	730	109.741	27.7878	0.117917	1	1	-1
441.235	122091	43266.8	381.952	325.315	1.26168e+06	154.093	154.093	657.232	279.774	281.395	3206.92	301.235	290.541	2986.78	19	4	873	58	2	6	871	875	54	62	698	115.74	26.9264	0.114262	1	1	-1
391.265	126192	42766.8	479.617	360.262	1.57354e+06	117.974	117.974	584.147	276.427	282.557	2806.07	251.265	332.45	3246.82	22	4	902	57	2	6	900	904	53	61	676	125.806	28.7297	0.121914	1	1	-1
444.355	127679	29757.8	1065.52	428.553	2.22903e+06	134.726	134.726	379.961	280.532	285.015	3074.64	304.355	279.447	3157.81	10	4	913	40	2	6	911	915	36	44	1309	180.359	43.2958	0.183725	1	1	-1
508.859	133727	25509.4	1950.46	480.777	3.01933e+06	110.558	110.558	140.711	275.794	279.941	3000.5	368.859	306.883	2709.43	17	4	956	35	2	6	954	958	31	39	892	130.845	39.8521	0.169112	1	1	-1
357.251	134905	21839.2	676.231	403.767	2.85509e+06	207.604	207.604	795.265	272.939	293.35	3179.2	217.251	365.124	2839.25	9	4	964	30	2	6	962	966	26	34	1198	162.579	44.4669	0.188695	1	1	-1
450.879	137289	44591	868.361	354.653	1.20929e+06	152.759	152.759	300.477	275.685	284.121	2900.27	310.879	228.668	2790.96	11	4	982	60	2	6	980	984	56	64	956	119.738	29.5048	0.125203	1	1	-1
256.962	140319	44956.2	285.098	453.321	2.81516e+06	187.267	187.267	1357.93	268.875	282.01	2954.21	116.962	179.006	1636.17	19	4	1004	62	2	6	1002	1006	58	66	880	147.938	41.2323	0.174969	1	1	-1
394.243	140576	42126	471.975	484.93	2.62015e+06	151.111	151.111	861.884	274.068	268.405	2917.42	254.243	155.766	2605.96	14	4	1006	57	2	6	1004	1008	53	61	983	139.288	41.6575	0.176773	1	1	-1
426.724	140764	47733.7	424.423	211.005	1.79069e+06	413.768	413.768	1991	281.041	272.058	2713.92	286.724	204.384	2133.73	16	4	1007	65	2	6	1005	1009	61	69	872	120.324	32.9719	0.139916	1	1	-1
551.791	121682	38753.9	616.033	252.416	377197	113.267	113.267	459.944	274.94	290.074	3074.59	271.791	301.663	3033.93	7	5	870	52	3	7	868	872	48	56	764	122.309	23.1145	0.098086	1	1	-1
572.552	125433	29471.2	672.966	336.882	1.37628e+06	197.912	197.912	504.979	287.672	285.062	3117.11	292.552	273.469	2871.2	11	5	897	40	3	7	895	899	36	44	992	130.264	29.9711	0.127182	1	1	-1
536.809	129632	43376.9	338.105	375.76	1.68371e+06	154.658	154.658	573.35	290.682	279.454	2918.13	256.809	271.974	3096.89	18	5	927	58	3	7	925	929	54	62	731	102.297	29.5388	0.125347	1	1	-1
761.793	133116	30234.4	306.771	412.076	2.23096e+06	280.525	280.525	1067.08	290.734	280.106	2918.06	481.793	255.726	2114.39	28	5	952	42	3	7	950	954	38	46	1012	140.407	36.7603	0.155992	1	1	-1
