FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 06-Sep-2018 
COMMENT	
IMG_Raw	C2-20180605_20180605_oocyte_stg5_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4_Z_004.oir.ome.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	C2-20180605_20180605_oocyte_stg5_phalloidin400_grk546_grkintron_647_30x_SI_gal_ave4_Z_004.oir.ome__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	760	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
8740.66	130787	20959	269.547	177.177	162396	163.138	163.138	534.761	275.717	282.593	3000.76	200.661	307.114	2719.04	10	64	935	29	62	66	933	937	25	33	470	51.1917	11.7722	0.176309	1	1	-1
10618.8	84168.4	23470	27463.9	173.163	79231.7	19.1886	19.1886	93.7497	280.596	280.259	3031.35	258.845	308.424	3709.96	53	77	602	31	75	79	600	604	27	35	1154	105.038	16.1228	0.241466	1	1	-1
14116.4	101458	11473.3	166.448	188.579	245292	247.331	247.331	767.444	280.693	286.309	3121.47	256.386	378.369	3113.27	8	102	725	16	100	104	723	727	12	20	373	52.6263	10.5308	0.157717	1	1	-1
14332.5	98436.2	15510.5	148.651	208.046	247789	135.337	135.337	781.286	282.251	280.814	2990.49	332.525	296.217	2590.5	14	103	704	22	101	105	702	706	18	26	385	46.9422	10.5374	0.157816	1	1	-1
15513.4	102095	8193.3	196.475	200.23	403362	272.615	272.615	764.882	281.09	275.891	3085.47	253.395	175.301	2873.3	11	112	731	12	110	114	729	733	8	16	526	49.1543	12.7163	0.190448	1	1	-1
15452.5	102450	17169.5	105.94	211.775	286188	237.662	237.662	1107.31	278.258	279.694	3012.97	192.522	249.619	2729.46	10	112	733	24	110	114	731	735	20	28	373	42.2837	11.4264	0.17113	1	1	-1
16069.8	102333	7245.5	221.339	190.408	383963	273.242	273.242	745.662	282.584	279.042	3186.32	249.778	273.249	3445.5	11	116	732	10	114	118	730	734	6	14	526	45.4977	12.408	0.185831	1	1	-1
16663.6	94429.8	17682.6	91.6967	219.387	363284	255.896	255.896	1549.59	281.003	288.486	3045.36	283.58	489.829	3242.59	20	120	674	24	118	122	672	676	20	28	436	42.005	10.0279	0.150184	1	1	-1
16567.9	100366	13195.9	78.0143	233.001	341623	205.441	205.441	1242.96	274.483	277.918	2982.09	187.877	265.872	1795.91	27	120	718	20	118	122	716	720	16	24	377	43.534	11.8215	0.177048	1	1	-1
16665.1	102303	6271.98	256.345	202.542	337352	233.846	233.846	546.117	278.569	285.202	3171.43	285.084	382.504	3231.98	10	120	731	9	118	122	729	733	5	13	427	49.6047	11.0388	0.165325	1	1	-1
17143.2	91238.4	14036.2	209.734	206.045	241021	188.99	188.99	608.725	284.51	283.962	3029.69	343.152	378.443	2636.16	10	123	652	20	121	125	650	654	16	24	484	46.2278	10.3561	0.1551	1	1	-1
17319.6	101003	13507.7	123.844	225.646	312185	216.832	216.832	798.453	278.697	275.949	3127.88	239.61	203.259	3627.7	10	125	723	18	123	127	721	725	14	22	425	44.9749	9.50723	0.142387	1	1	-1
17375.6	114262	16059.5	146.71	221.841	344691	234.204	234.204	1103.9	281.378	282.351	2929.45	295.585	302.487	2379.51	11	125	817	23	123	127	815	819	19	27	398	47.8222	11.9047	0.178292	1	1	-1
17813.7	110555	21124.1	287.552	213.856	263434	121.545	121.545	401.665	285.939	280.328	3098.2	313.74	235.274	2884.1	8	128	791	29	126	130	789	793	25	33	397	52.4646	11.9797	0.179417	1	1	-1
17886.3	102822	24045.1	203.796	219.405	359661	155.815	155.815	705.471	279.613	282.968	3000.51	246.347	342.442	2765.08	11	129	735	33	127	131	733	737	29	37	477	56.3804	13.706	0.20527	1	1	-1
18107.4	92309.6	12871.8	127.243	232.768	469805	274.944	274.944	889.721	280.9	285.318	2922.47	327.367	329.589	2991.79	12	130	660	18	128	132	658	662	14	22	457	42.6554	10.9634	0.164196	1	1	-1
18016.8	106353	13651.4	391.758	227.059	371134	117.72	117.72	454.318	276.638	273.685	3015.53	236.785	232.517	3011.36	12	130	761	19	128	132	759	763	15	23	559	75.1254	15.4967	0.232089	1	1	-1
18140.2	101555	4721.31	177.442	198.761	298391	261.594	261.594	698.391	281.243	283.999	3152.05	220.197	334.532	3201.31	9	131	726	7	129	133	724	728	3	11	403	44.1153	10.9851	0.164521	1	1	-1
18202.8	105219	18706.5	389.945	224.969	274457	112.108	112.108	197.084	281.245	275.786	3067.08	282.791	219.394	2746.46	18	131	753	26	129	133	751	755	22	30	376	42.2198	10.023	0.150112	1	1	-1
18292.6	111396	18378.7	277.289	229.5	300864	131.825	131.825	315.795	280.892	279.223	3038.5	372.613	236.428	3178.66	13	131	797	25	129	133	795	799	21	29	427	43.4932	11.0184	0.165019	1	1	-1
18340.6	108877	13577.6	150.247	219.01	270101	173.261	173.261	722.483	278.344	277.12	2970.92	280.637	237.132	2937.57	8	132	779	19	130	134	777	781	15	23	373	47.0405	10.6539	0.15956	1	1	-1
18348.4	113339	16840.8	83.2842	226.181	316591	162.406	162.406	1990.99	276.308	279.88	2951.12	148.448	219.079	880.829	27	133	811	26	131	135	809	813	22	30	410	42.5246	11.3733	0.170334	1	1	-1
18671.6	89071	18132.3	704.634	234.835	349779	51.5564	51.5564	291.928	284.188	274.727	3101.64	331.621	310.982	3692.29	25	134	637	24	132	136	635	639	20	28	445	45.3283	12.1841	0.182477	1	1	-1
18635.9	100637	21387.6	333.721	230.985	340638	107.138	107.138	356.075	286.535	277.887	3039.05	295.865	257.047	2387.63	38	134	720	30	132	136	718	722	26	34	508	57.3647	12.2345	0.183232	1	1	-1
18919.9	99070.1	14204.1	259.527	247.314	507547	163.282	163.282	481.663	281.863	278.976	3124.52	299.897	230.083	2804.08	9	136	709	20	134	138	707	711	16	24	476	52.3421	13.3244	0.199555	1	1	-1
18973	87742.2	13012.1	94.8479	206.069	315188	274.581	274.581	1613.98	276.109	276.038	3155.34	213.015	242.223	3892.07	22	137	628	17	135	139	626	630	13	21	380	47.798	9.97132	0.149338	1	1	-1
19158.1	97885.8	23298.5	163.921	205.006	250515	184.808	184.808	704.415	278.774	277.993	2989.23	258.146	305.842	2778.47	8	138	700	32	136	140	698	702	28	36	453	53.5711	10.5952	0.158681	1	1	-1
19190.3	102767	7335.31	103.026	195.985	322980	250.444	250.444	1464.67	280.357	280.201	3143.8	290.336	287.332	3535.31	59	138	735	10	136	140	733	737	6	14	399	53.1173	11.3251	0.169612	1	1	-1
19283.6	102239	11486	148.806	232.69	467098	176.895	176.895	1344.08	275.545	286.66	3097.18	243.583	318.655	3126.04	28	139	731	16	137	141	729	733	12	20	547	58.735	16.2854	0.243902	1	1	-1
19421.1	108069	15941.1	139.073	216.094	282071	166.028	166.028	680.771	278.523	277.576	3114.39	241.13	268.608	3781.05	18	140	773	21	138	142	771	775	17	25	409	50.0167	11.2476	0.168453	1	1	-1
19710.6	87137.4	13348.7	133.627	219.518	266495	201.985	201.985	938.865	278.891	278.456	3157.56	250.616	197.384	4228.7	13	142	624	17	140	144	622	626	13	21	405	47.5544	10.9073	0.163356	1	1	-1
19761.5	89949.4	11597.7	162.009	230.429	331505	133.872	133.872	732.814	283.648	282.938	3072.17	301.491	349.417	3237.72	11	142	643	16	140	144	641	645	12	20	374	42.2988	11.0735	0.165845	1	1	-1
19756.3	103710	15178.3	572.315	238.747	425923	65.8692	65.8692	382.78	283.873	275.259	2901.19	296.294	250.5	3018.29	17	142	742	21	140	144	740	744	17	25	558	59.8361	12.7471	0.19091	1	1	-1
19898.2	100640	11789.3	134.179	211.877	289414	199.392	199.392	816.756	283.649	281.615	3003.32	298.222	259.675	2669.28	9	143	720	17	141	145	718	722	13	21	357	43.1467	11.4376	0.171298	1	1	-1
19912.7	110767	24866	519.034	231.935	359142	64.0956	64.0956	371.54	282.081	280.28	2896.87	312.701	306.723	2825.97	13	143	792	34	141	145	790	794	30	38	457	44.3417	10.4033	0.155808	1	1	-1
20027.2	89296.2	25801.8	192.307	189.453	188490	152.673	152.673	634.355	277.865	279.837	2945.17	287.229	256.234	3001.8	8	144	639	35	142	146	637	641	31	39	377	54.565	10.8544	0.162563	1	1	-1
19953.7	91514.1	24744.5	152.011	201.622	274591	264.278	264.278	750.793	276.511	289.762	2918.73	213.687	514.149	2704.51	15	144	653	34	142	146	651	655	30	38	411	42.1525	9.79602	0.146712	1	1	-1
20165.9	99605	2843.36	241.044	209.178	394847	225.68	225.68	647.26	280.915	278.335	3129.85	285.914	205.042	2843.36	10	145	713	5	143	147	711	715	1	9	537	49.4554	11.7029	0.175271	1	1	-1
20230	105730	9684.38	270.728	215.583	250694	126.939	126.939	420.402	282.625	282.197	3002.29	349.96	309.775	2844.38	9	145	756	14	143	147	754	758	10	18	434	44.9119	11.3745	0.170353	1	1	-1
