FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 06-Sep-2018 
COMMENT	
IMG_Raw	C2-20180703_a1_grk_OE_oocyte_stgE8_phalloidin488_grk546_30x_SI_gal_ave4_L140__Z_005.oir.ome.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	C2-20180703_a1_grk_OE_oocyte_stgE8_phalloidin488_grk546_30x_SI_gal_ave4_L140__Z_005.oir.ome__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
140	760	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	1024	1024	
Y_POS	1	768	768	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
354.012	3567.53	28281.8	537.64	587.374	3.88726e+06	197.64	197.64	1134.82	284.583	279.564	3053.23	354.012	347.534	3201.76	18	3	26	38	1	5	24	28	34	42	1143	153.311	53.2708	0.190406	1	1	-1
219.396	4749.64	30517.5	664.208	599.72	4.25861e+06	230.438	230.438	739.785	271.019	276.44	3215.49	219.396	269.638	3157.48	11	3	35	41	1	5	33	37	37	45	1471	159.004	46.5565	0.166407	1	1	-1
531.473	1420.91	28528.5	1085.88	656.494	5.01651e+06	189.2	189.2	464.435	286.694	259.741	2896.75	391.473	160.911	2688.51	15	4	12	39	2	6	10	14	35	43	1440	155.643	58.6385	0.209592	1	1	-1
600.113	1921.87	25586.5	763.908	274.307	5.5384e+06	492	492	1311.7	279.301	278.797	3675.46	320.113	241.875	4306.45	16	5	15	33	3	7	13	17	29	37	1431	168.467	50.5593	0.180715	1	1	-1
866.447	1117.94	28400.4	558.306	652.082	6.85677e+06	276.285	276.285	1452.17	286.368	278.41	2803.33	306.447	277.943	1800.39	15	7	9	40	5	9	7	11	36	44	1420	205.18	64.5013	0.230548	1	1	-1
892.757	3314.3	32887.3	942.382	661.56	3.66085e+06	167.09	167.09	413.665	280.073	280.697	3043.09	332.757	234.295	3247.25	11	7	25	44	5	9	23	27	40	48	1389	148.826	44.9248	0.160576	1	1	-1
883.688	1436.46	27239.2	853.489	272.965	9.02778e+06	492	492	1991	267.004	285.979	3643.09	183.688	316.46	4439.17	17	8	11	35	6	10	9	13	31	39	1671	208.519	60.7673	0.217202	1	1	-1
966.966	2372.87	27746.1	926.124	231.29	6.24797e+06	492	492	1991	274.991	278.391	3253.6	266.966	272.87	3426.08	14	8	18	37	6	10	16	20	33	41	1426	190.071	54.3356	0.194213	1	1	-1
1011.31	4004.34	32040.8	406.392	506.356	4.50432e+06	301.452	301.452	1897.82	275.608	272.574	3217.08	311.306	224.335	3920.82	20	8	30	42	6	10	28	32	38	46	1152	158.503	44.999	0.160841	1	1	-1
991.932	4466.01	33368.8	557.857	498.451	2.7739e+06	218.344	218.344	995.618	272.703	259.213	3135.92	291.932	126.01	2968.76	13	8	34	45	6	10	32	36	41	49	1110	149.755	42.279	0.151118	1	1	-1
1283.57	3530.31	37872	511.279	634.571	3.83957e+06	168.81	168.81	732.135	276.271	277.883	2977.59	303.574	170.315	3672.03	19	10	27	50	8	12	25	29	46	54	1190	147.736	44.6398	0.159557	1	1	-1
1558.29	3404.65	32343.9	518.043	650.156	3.33702e+06	248.918	248.918	888.595	285.715	288.221	2988.84	298.289	324.65	2703.91	12	12	25	44	10	14	23	27	40	48	1287	139.79	45.3929	0.162249	1	1	-1
1844.66	248.515	33352.7	746.098	781.154	6.06723e+06	184.476	184.476	501.889	275.115	277.05	2968.35	164.664	248.515	2952.72	12	15	3	45	13	17	1	5	41	49	1545	145.5	52.7308	0.188476	1	1	-1
2277.92	2792.01	34198.9	599.496	658.848	5.3565e+06	207.627	207.627	854.253	266.761	279.947	3036.97	317.919	272.015	3038.95	22	17	21	46	15	19	19	23	42	50	1341	174.742	51.0772	0.182566	1	1	-1
2874.59	1540.01	31975.3	777.055	329.049	6.50448e+06	360.825	360.825	1991	263.54	258.944	3405.19	214.586	140.011	3855.3	17	22	13	42	20	24	11	15	38	46	1276	180.034	52.2437	0.186735	1	1	-1
3318.67	939.545	32446.7	693.619	384.827	5.99138e+06	336.021	336.021	1991	269.601	272.375	3255.27	238.667	239.545	3566.66	17	25	8	43	23	27	6	10	39	47	1251	213.327	59.716	0.213444	1	1	-1
3409.94	218.994	31250.5	620.915	682.096	6.02756e+06	221.197	221.197	714.323	262.948	271.654	3062.56	189.943	218.994	2370.5	13	26	3	43	24	28	1	5	39	47	1416	171.358	49.0565	0.175343	1	1	-1
9934.84	37575.4	47008.8	547.882	268.553	1.00669e+06	158.069	158.069	725.093	282.563	274.359	2890.8	274.836	195.414	2928.76	10	72	270	63	70	74	268	272	59	67	775	158.176	31.1704	0.111413	1	1	-1
9931.11	50327.4	42895.6	469.187	288.871	1.28299e+06	198.148	198.148	1019.64	280.052	269.088	3126.63	271.111	207.379	3375.61	9	72	361	57	70	74	359	363	53	61	901	142.999	35.3429	0.126326	1	1	-1
10095.4	33040.3	38303.4	592.91	276.733	625738	163.202	163.202	522.205	282.699	280.368	3108.77	295.419	280.325	3343.43	9	73	237	51	71	75	235	239	47	55	667	138.957	26.4918	0.09469	1	1	-1
10875.7	49856.5	38731.4	654.12	293.799	942570	167.767	167.767	588.734	273.803	285.14	3099.88	235.659	296.504	3011.41	10	79	357	52	77	81	355	359	48	56	886	138.926	30.9492	0.110622	1	1	-1
11115	52929.2	41525.3	1110.22	336.434	1.39698e+06	127.073	127.073	274.552	270.963	286.607	3108.31	194.976	289.154	2765.31	12	81	379	56	79	83	377	381	52	60	807	151.162	38.3585	0.137105	1	1	-1
